"score","method","mrts_k","quantile","mean","median","rel_mean","rel_median"
"brier",1,0,0.9,0.0185621962913636,0.0173251544886364,1,1
"brier",1,0,0.91,0.0170141691295455,0.0151989429795455,1,1
"brier",1,0,0.92,0.0155235085490909,0.0148922082522727,1,1
"brier",1,0,0.93,0.0150350122331818,0.0142816490363636,1,1
"brier",1,0,0.94,0.0146644936909091,0.0137932360318182,1,1
"brier",1,0,0.95,0.0129626767909091,0.0113920392522727,1,1
"brier",1,0,0.96,0.0109987536309091,0.0115857866772727,1,1
"brier",1,0,0.97,0.00992408085454545,0.0101550233795455,1,1
"brier",1,0,0.98,0.00758926257727273,0.00722423936818182,1,1
"brier",1,0,0.99,0.005361066835,0.00534901669772727,1,1
"brier",1,0,0.995,0.00364533768454545,0.003893046025,1,1
"brier",2,0,0.9,0.0176135580077273,0.0168221004045455,0.948894071113894,0.970963948147137
"brier",2,0,0.91,0.0160912241545455,0.0143385492136364,0.945754331700084,0.943391210358049
"brier",2,0,0.92,0.0146717100118182,0.0143107786318182,0.945128478231642,0.960957461069226
"brier",2,0,0.93,0.0140845406790909,0.013487142975,0.936782788111522,0.944368744859877
"brier",2,0,0.94,0.0136189197568182,0.0129293887318182,0.928700304549956,0.937371672752697
"brier",2,0,0.95,0.0121034513959091,0.0109875027068182,0.93371543479333,0.964489540766475
"brier",2,0,0.96,0.01029341134,0.0104780113772727,0.935870707302061,0.90438497351474
"brier",2,0,0.97,0.00931191245227273,0.00917529081136364,0.938314851395801,0.903522371976492
"brier",2,0,0.98,0.00700929150454545,0.00680682064090909,0.923580049204769,0.942219698711647
"brier",2,0,0.99,0.00482183911772727,0.00461064409318182,0.899417833452038,0.861961058214834
"brier",2,0,0.995,0.00317545299818182,0.00315963391590909,0.871099819268945,0.81160969986454
"brier",3,0,0.9,0.0178256745645455,0.0169292608318182,0.960321412657356,0.977149199040167
"brier",3,0,0.91,0.0162622993918182,0.0147914354590909,0.955809200437438,0.973188430208406
"brier",3,0,0.92,0.0147379557,0.0143305123227273,0.949395921250231,0.962282562798587
"brier",3,0,0.93,0.0141441193609091,0.0137427811340909,0.940745450788091,0.962268509686754
"brier",3,0,0.94,0.0136715328072727,0.0129517204113636,0.932288089547072,0.938990703957118
"brier",3,0,0.95,0.012171779415,0.011048183575,0.938986569775175,0.969816143566734
"brier",3,0,0.96,0.0103383340222727,0.0106430177159091,0.939955050290387,0.918627108574938
"brier",3,0,0.97,0.00938234643954546,0.00920518192954545,0.945412132071468,0.906465852957739
"brier",3,0,0.98,0.00706945710818182,0.00688985438181818,0.931507776440948,0.953713468045316
"brier",3,0,0.99,0.00481253714409091,0.00456059210909091,0.897682735956958,0.852603827359269
"brier",3,0,0.995,0.00319695969590909,0.00325635567272727,0.876999601288715,0.836454450272592
"brier",4,0,0.9,0.0177269885831818,0.0168369282159091,0.955004909167434,0.971819802643174
"brier",4,0,0.91,0.0161952287172727,0.0143196792727273,0.951867152251906,0.942149680540187
"brier",4,0,0.92,0.0147686299690909,0.0141793972659091,0.951371909409989,0.952135306309939
"brier",4,0,0.93,0.0142426961704545,0.0135040187090909,0.947301934282524,0.945550382501857
"brier",4,0,0.94,0.0137536624340909,0.0128185196295455,0.937888666597277,0.929333740100999
