"score","method","mrts_k","dataset","quantile","value"
"brier",2,0,2,0.9,0.0361314041636364
"brier",2,0,2,0.91,0.0325217191681818
"brier",2,0,2,0.92,0.0283345015045455
"brier",2,0,2,0.93,0.0249782331363636
"brier",2,0,2,0.94,0.0215884883545455
"brier",2,0,2,0.95,0.0182594278909091
"brier",2,0,2,0.96,0.0141960056318182
"brier",2,0,2,0.97,0.00782809958636364
"brier",2,0,2,0.98,0.00337610810909091
"brier",2,0,2,0.99,0.00336859663181818
"brier",2,0,2,0.995,0.00340482853636364
"brier",2,0,3,0.9,0.0287059714772727
"brier",2,0,3,0.91,0.0281355014545455
"brier",2,0,3,0.92,0.0266703777454545
"brier",2,0,3,0.93,0.0243703551136364
"brier",2,0,3,0.94,0.0217689320863636
"brier",2,0,3,0.95,0.0182823043772727
"brier",2,0,3,0.96,0.0163835375636364
"brier",2,0,3,0.97,0.0127224821909091
"brier",2,0,3,0.98,0.0103257637727273
"brier",2,0,3,0.99,0.00660149456818182
"brier",2,0,3,0.995,0.00239646915
"brier",2,0,4,0.9,0.0280278985363636
"brier",2,0,4,0.91,0.0246586232318182
"brier",2,0,4,0.92,0.0203257304954545
"brier",2,0,4,0.93,0.0157353461
"brier",2,0,4,0.94,0.0107927763045455
"brier",2,0,4,0.95,0.00534559230909091
"brier",2,0,4,0.96,0.00529713368636364
"brier",2,0,4,0.97,0.00743686176818182
"brier",2,0,4,0.98,0.00793309225
"brier",2,0,4,0.99,0.00548277628636364
"brier",2,0,4,0.995,0.00302643833181818
"brier",2,0,5,0.9,0.0251379922636364
"brier",2,0,5,0.91,0.0236074021318182
"brier",2,0,5,0.92,0.0205504289772727
"brier",2,0,5,0.93,0.0187351734909091
"brier",2,0,5,0.94,0.0165416120545455
"brier",2,0,5,0.95,0.0121840777863636
"brier",2,0,5,0.96,0.0104531084818182
"brier",2,0,5,0.97,0.0102388256772727
"brier",2,0,5,0.98,0.00818061175909091
"brier",2,0,5,0.99,0.00437347629545455
"brier",2,0,5,0.995,0.00300785007727273
"brier",2,0,6,0.9,0.0360910498772727
"brier",2,0,6,0.91,0.0346764214
"brier",2,0,6,0.92,0.0326885190727273
"brier",2,0,6,0.93,0.0307435099909091
"brier",2,0,6,0.94,0.0269720894681818
"brier",2,0,6,0.95,0.0240350653863636
"brier",2,0,6,0.96,0.0211043175318182
"brier",2,0,6,0.97,0.0185634354545455
"brier",2,0,6,0.98,0.0141373189318182
"brier",2,0,6,0.99,0.00617753672727273
"brier",2,0,6,0.995,0.00322020157272727
"brier",2,0,7,0.9,0.0352190104772727
"brier",2,0,7,0.91,0.0330167887772727
"brier",2,0,7,0.92,0.0286647305954545
"brier",2,0,7,0.93,0.0217799824590909
"brier",2,0,7,0.94,0.0152491814590909
"brier",2,0,7,0.95,0.00885137741818182
"brier",2,0,7,0.96,0.000125732445454545
"brier",2,0,7,0.97,0.00601914931363636
"brier",2,0,7,0.98,0.00755516150909091
"brier",2,0,7,0.99,0.00537370567272727
"brier",2,0,7,0.995,0.00143864059090909
"brier",2,0,8,0.9,0.0271898826181818
"brier",2,0,8,0.91,0.0247555002545455
"brier",2,0,8,0.92,0.02293769005
"brier",2,0,8,0.93,0.0201642464272727
"brier",2,0,8,0.94,0.0179168296545455
"brier",2,0,8,0.95,0.0149579827045455
"brier",2,0,8,0.96,0.0132947059772727
"brier",2,0,8,0.97,0.0101541758545455
"brier",2,0,8,0.98,0.00722189434545455
"brier",2,0,8,0.99,0.00570981881818182
"brier",2,0,8,0.995,0.00435720418181818
"brier",2,0,9,0.9,0.03717432445
"brier",2,0,9,0.91,0.0314938798409091
"brier",2,0,9,0.92,0.0283037603954545
"brier",2,0,9,0.93,0.0238874253318182
"brier",2,0,9,0.94,0.0185913744090909
"brier",2,0,9,0.95,0.0150680538
"brier",2,0,9,0.96,0.0118321147909091
"brier",2,0,9,0.97,0.0107112809454545
"brier",2,0,9,0.98,0.00873232369090909
"brier",2,0,9,0.99,0.00531244127727273
"brier",2,0,9,0.995,0.00353147724545455
"brier",2,0,10,0.9,0.0138318926545455
"brier",2,0,10,0.91,0.0116908958045455
"brier",2,0,10,0.92,0.00978294833181818
"brier",2,0,10,0.93,0.00894016485454545
"brier",2,0,10,0.94,0.0103797322045455
"brier",2,0,10,0.95,0.00851222984545455
"brier",2,0,10,0.96,0.00841499935
"brier",2,0,10,0.97,0.00753312142727273
"brier",2,0,10,0.98,0.00705079920909091
"brier",2,0,10,0.99,0.00609951949090909
"brier",2,0,10,0.995,0.00405536456363636
"brier",3,0,1,0.9,0.0221765564454545
"brier",3,0,1,0.91,0.0225604719863636
"brier",3,0,1,0.92,0.0216083206
"brier",3,0,1,0.93,0.0210200719909091
"brier",3,0,1,0.94,0.0201991212863636
"brier",3,0,1,0.95,0.0171796243272727
"brier",3,0,1,0.96,0.0134256516
"brier",3,0,1,0.97,0.01083704825
"brier",3,0,1,0.98,0.0107161676363636
"brier",3,0,1,0.99,0.00646276837272727
"brier",3,0,1,0.995,0.00407993038181818
"brier",3,0,2,0.9,0.0364401683681818
"brier",3,0,2,0.91,0.0324973954772727
"brier",3,0,2,0.92,0.0283411559272727
"brier",3,0,2,0.93,0.0248647761681818
"brier",3,0,2,0.94,0.02149832865
"brier",3,0,2,0.95,0.0181249559272727
"brier",3,0,2,0.96,0.0140926465045455
"brier",3,0,2,0.97,0.00780225488181818
"brier",3,0,2,0.98,0.0033115149
"brier",3,0,2,0.99,0.00337975694545455
"brier",3,0,2,0.995,0.00318384214545455
"brier",3,0,3,0.9,0.0292121804681818
"brier",3,0,3,0.91,0.0286665798863636
"brier",3,0,3,0.92,0.0275773584227273
"brier",3,0,3,0.93,0.0252649700363636
"brier",3,0,3,0.94,0.022285256
"brier",3,0,3,0.95,0.0188258184545455
"brier",3,0,3,0.96,0.0169639550454545
"brier",3,0,3,0.97,0.0129476618818182
"brier",3,0,3,0.98,0.0103739875545455
"brier",3,0,3,0.99,0.00656346375909091
"brier",3,0,3,0.995,0.00238299953181818
"brier",3,0,4,0.9,0.0281697952
"brier",3,0,4,0.91,0.0250333649636364
"brier",3,0,4,0.92,0.0207476466863636
"brier",3,0,4,0.93,0.01587510805
"brier",3,0,4,0.94,0.0111040130090909
"brier",3,0,4,0.95,0.00585881139545455
"brier",3,0,4,0.96,0.00554707228181818
"brier",3,0,4,0.97,0.00717827873181818
"brier",3,0,4,0.98,0.00779321508181818
"brier",3,0,4,0.99,0.00535551258181818
"brier",3,0,4,0.995,0.00284663772272727
"brier",3,0,5,0.9,0.0258038771590909
"brier",3,0,5,0.91,0.0240303992772727
"brier",3,0,5,0.92,0.0208791853318182
"brier",3,0,5,0.93,0.0189448585409091
"brier",3,0,5,0.94,0.0166817437681818
"brier",3,0,5,0.95,0.0122238588090909
"brier",3,0,5,0.96,0.010564549
"brier",3,0,5,0.97,0.0102334972636364
"brier",3,0,5,0.98,0.00814104155909091
"brier",3,0,5,0.99,0.00439432212272727
"brier",3,0,5,0.995,0.00312436175909091
"brier",3,0,6,0.9,0.0370050409363636
"brier",3,0,6,0.91,0.0356342147772727
"brier",3,0,6,0.92,0.0337064685318182
"brier",3,0,6,0.93,0.0317264416454545
"brier",3,0,6,0.94,0.0281551431409091
"brier",3,0,6,0.95,0.0251199450272727
"brier",3,0,6,0.96,0.0220290001045455
"brier",3,0,6,0.97,0.0191972043636364
"brier",3,0,6,0.98,0.0143749949818182
"brier",3,0,6,0.99,0.00630094567727273
"brier",3,0,6,0.995,0.00344050874545455
"brier",3,0,7,0.9,0.0348875665590909
"brier",3,0,7,0.91,0.0327456030681818
"brier",3,0,7,0.92,0.0282465050272727
"brier",3,0,7,0.93,0.0217166804590909
"brier",3,0,7,0.94,0.0152890880454545
"brier",3,0,7,0.95,0.00889725363181818
"brier",3,0,7,0.96,0.000203505140909091
"brier",3,0,7,0.97,0.00629791137272727
"brier",3,0,7,0.98,0.00762651048636364
"brier",3,0,7,0.99,0.00543073760909091
"brier",3,0,7,0.995,0.0014737075
"brier",3,0,8,0.9,0.0278695414909091
"brier",3,0,8,0.91,0.0252376164136364
"brier",3,0,8,0.92,0.0233921017318182
"brier",3,0,8,0.93,0.0207932192681818
"brier",3,0,8,0.94,0.0182045694
"brier",3,0,8,0.95,0.0152025937590909
"brier",3,0,8,0.96,0.0138028566272727
"brier",3,0,8,0.97,0.0104216582727273
"brier",3,0,8,0.98,0.00727311225909091
"brier",3,0,8,0.99,0.00564149691363636
"brier",3,0,8,0.995,0.00430053853181818
"brier",3,0,9,0.9,0.0374042865136364
"brier",3,0,9,0.91,0.0312573386454545
"brier",3,0,9,0.92,0.0279918961636364
"brier",3,0,9,0.93,0.0237002822590909
"brier",3,0,9,0.94,0.0184836520772727
"brier",3,0,9,0.95,0.0149738681818182
"brier",3,0,9,0.96,0.01187315675
"brier",3,0,9,0.97,0.0107114754590909
"brier",3,0,9,0.98,0.00850979453181818
"brier",3,0,9,0.99,0.00526399770454545
"brier",3,0,9,0.995,0.00349773125909091
"brier",3,0,10,0.9,0.0140846477227273
"brier",3,0,10,0.91,0.0119523546909091
"brier",3,0,10,0.92,0.0100855793227273
"brier",3,0,10,0.93,0.00937742444545455
"brier",3,0,10,0.94,0.0109235168863636
"brier",3,0,10,0.95,0.0090267614
"brier",3,0,10,0.96,0.00865482915
"brier",3,0,10,0.97,0.00755395786818182
"brier",3,0,10,0.98,0.00706398676818182
"brier",3,0,10,0.99,0.00598400150909091
"brier",3,0,10,0.995,0.00407247465454545
"brier",4,0,1,0.9,0.0221769641863636
"brier",4,0,1,0.91,0.0225138502909091
"brier",4,0,1,0.92,0.0213682007318182
"brier",4,0,1,0.93,0.0207979203545455
"brier",4,0,1,0.94,0.0202936318681818
"brier",4,0,1,0.95,0.0173777032772727
"brier",4,0,1,0.96,0.0133644500590909
"brier",4,0,1,0.97,0.0110211646863636
"brier",4,0,1,0.98,0.0111597080272727
"brier",4,0,1,0.99,0.00657586542272727
"brier",4,0,1,0.995,0.00403177621818182
"brier",4,0,2,0.9,0.0365105660954545
"brier",4,0,2,0.91,0.0328648123409091
"brier",4,0,2,0.92,0.02887969225
"brier",4,0,2,0.93,0.0254897981454545
"brier",4,0,2,0.94,0.0220313572818182
"brier",4,0,2,0.95,0.0186881199454545
"brier",4,0,2,0.96,0.0143210341727273
"brier",4,0,2,0.97,0.00790785202272727
"brier",4,0,2,0.98,0.00324253330909091
"brier",4,0,2,0.99,0.00333866919090909
"brier",4,0,2,0.995,0.00326980869545455
"brier",4,0,3,0.9,0.0287446071227273
"brier",4,0,3,0.91,0.0286850392681818
"brier",4,0,3,0.92,0.0272733950954545
"brier",4,0,3,0.93,0.0252071740636364
"brier",4,0,3,0.94,0.0223030846772727
"brier",4,0,3,0.95,0.0189236749045455
"brier",4,0,3,0.96,0.0170027251318182
"brier",4,0,3,0.97,0.0131709615818182
"brier",4,0,3,0.98,0.0107285579090909
"brier",4,0,3,0.99,0.0070029957
"brier",4,0,3,0.995,0.00244213613181818
"brier",4,0,4,0.9,0.0280749616818182
"brier",4,0,4,0.91,0.0247276479590909
"brier",4,0,4,0.92,0.0205340239909091
"brier",4,0,4,0.93,0.0158638827136364
"brier",4,0,4,0.94,0.0110164621272727
"brier",4,0,4,0.95,0.00615414778181818
"brier",4,0,4,0.96,0.00614389652727273
"brier",4,0,4,0.97,0.00729787997727273
"brier",4,0,4,0.98,0.00793353830454546
"brier",4,0,4,0.99,0.00538044828636364
"brier",4,0,4,0.995,0.00302808748636364
"brier",4,0,5,0.9,0.0263247936318182
"brier",4,0,5,0.91,0.0247528277136364
"brier",4,0,5,0.92,0.0216987673227273
"brier",4,0,5,0.93,0.0197757753090909
"brier",4,0,5,0.94,0.0175622842181818
"brier",4,0,5,0.95,0.0129631327363636
"brier",4,0,5,0.96,0.01120174325
"brier",4,0,5,0.97,0.0108301027045455
"brier",4,0,5,0.98,0.00825751082727273
"brier",4,0,5,0.99,0.00437564281363636
"brier",4,0,5,0.995,0.00305907937272727
"brier",4,0,6,0.9,0.0369563830318182
"brier",4,0,6,0.91,0.0355593557590909
"brier",4,0,6,0.92,0.0336416534545455
"brier",4,0,6,0.93,0.0316769846181818
"brier",4,0,6,0.94,0.0282481982090909
"brier",4,0,6,0.95,0.0250724043818182
"brier",4,0,6,0.96,0.0219242330227273
"brier",4,0,6,0.97,0.0190924413363636
"brier",4,0,6,0.98,0.0142590778
"brier",4,0,6,0.99,0.00615774838636364
"brier",4,0,6,0.995,0.00331876898636364
"brier",4,0,7,0.9,0.0352879287272727
"brier",4,0,7,0.91,0.0331824296818182
"brier",4,0,7,0.92,0.0286302198909091
"brier",4,0,7,0.93,0.0222678462772727
"brier",4,0,7,0.94,0.0155766323909091
"brier",4,0,7,0.95,0.00888018257272727
"brier",4,0,7,0.96,0.0001357754
"brier",4,0,7,0.97,0.00646409888636364
"brier",4,0,7,0.98,0.00785443894545455
"brier",4,0,7,0.99,0.00564048579090909
"brier",4,0,7,0.995,0.00140494608181818
"brier",4,0,8,0.9,0.0280538270545455
"brier",4,0,8,0.91,0.0253307096727273
"brier",4,0,8,0.92,0.02356853005
"brier",4,0,8,0.93,0.0207267842227273
"brier",4,0,8,0.94,0.0179531139454545
"brier",4,0,8,0.95,0.0151093278045455
"brier",4,0,8,0.96,0.0135590685818182
"brier",4,0,8,0.97,0.0103975733863636
"brier",4,0,8,0.98,0.00740809732272727
"brier",4,0,8,0.99,0.00574963413636364
"brier",4,0,8,0.995,0.00437787504545455
"brier",4,0,9,0.9,0.0369534014318182
"brier",4,0,9,0.91,0.0311203548181818
"brier",4,0,9,0.92,0.0278063385272727
"brier",4,0,9,0.93,0.023511612
"brier",4,0,9,0.94,0.0184948043090909
"brier",4,0,9,0.95,0.0151059149
"brier",4,0,9,0.96,0.0120568269772727
"brier",4,0,9,0.97,0.0106573998
"brier",4,0,9,0.98,0.00853589960454545
"brier",4,0,9,0.99,0.00535145733181818
"brier",4,0,9,0.995,0.00359474596363636
"brier",4,0,10,0.9,0.0140361763681818
"brier",4,0,10,0.91,0.0120056713545455
"brier",4,0,10,0.92,0.01016598335
"brier",4,0,10,0.93,0.00956695623636364
"brier",4,0,10,0.94,0.0110540562045455
"brier",4,0,10,0.95,0.00903813018181818
"brier",4,0,10,0.96,0.00871304431818182
"brier",4,0,10,0.97,0.00759690441363636
"brier",4,0,10,0.98,0.00732332706818182
"brier",4,0,10,0.99,0.00596811022272727
"brier",4,0,10,0.995,0.00409769362727273
"brier",5,0,1,0.9,0.0229564323545455
"brier",5,0,1,0.91,0.0237828892772727
"brier",5,0,1,0.92,0.0232425295090909
"brier",5,0,1,0.93,0.0234303467545455
"brier",5,0,1,0.94,0.0219319240545455
"brier",5,0,1,0.95,0.0182364606954545
"brier",5,0,1,0.96,0.0148518038681818
"brier",5,0,1,0.97,0.01121128475
"brier",5,0,1,0.98,0.0117053788090909
"brier",5,0,1,0.99,0.00667138199090909
"brier",5,0,1,0.995,0.00507495282727273
"brier",5,0,2,0.9,0.0386371184772727
"brier",5,0,2,0.91,0.0346004874454545
"brier",5,0,2,0.92,0.0308826930136364
"brier",5,0,2,0.93,0.0271967999681818
"brier",5,0,2,0.94,0.0234214300590909
"brier",5,0,2,0.95,0.0197996927090909
"brier",5,0,2,0.96,0.0149156358909091
"brier",5,0,2,0.97,0.00845806248181818
"brier",5,0,2,0.98,0.00385679916363636
"brier",5,0,2,0.99,0.00452250256818182
"brier",5,0,2,0.995,0.00408597747272727
"brier",5,0,3,0.9,0.0315871904181818
"brier",5,0,3,0.91,0.0302054188636364
"brier",5,0,3,0.92,0.0294818288954545
"brier",5,0,3,0.93,0.0275179448863636
"brier",5,0,3,0.94,0.0248896213954545
"brier",5,0,3,0.95,0.0220535439136364
"brier",5,0,3,0.96,0.0216727269818182
"brier",5,0,3,0.97,0.0171968592909091
"brier",5,0,3,0.98,0.0143760560090909
"brier",5,0,3,0.99,0.00936975198181818
"brier",5,0,3,0.995,0.00280713017272727
"brier",5,0,4,0.9,0.0287249793545455
"brier",5,0,4,0.91,0.0258234018590909
"brier",5,0,4,0.92,0.0216274071954545
"brier",5,0,4,0.93,0.0167397338227273
"brier",5,0,4,0.94,0.0119593220227273
"brier",5,0,4,0.95,0.00658311664090909
"brier",5,0,4,0.96,0.00607802503636364
"brier",5,0,4,0.97,0.00946314714545455
"brier",5,0,4,0.98,0.00892648399090909
"brier",5,0,4,0.99,0.00560740996818182
"brier",5,0,4,0.995,0.00241184859545455
"brier",5,0,5,0.9,0.0266793689363636
"brier",5,0,5,0.91,0.0250870184954545
"brier",5,0,5,0.92,0.0219397734045455
"brier",5,0,5,0.93,0.0199260916045455
"brier",5,0,5,0.94,0.0175924899954545
"brier",5,0,5,0.95,0.0129020662863636
"brier",5,0,5,0.96,0.0110996059772727
"brier",5,0,5,0.97,0.0106745193318182
"brier",5,0,5,0.98,0.00823477620454545
"brier",5,0,5,0.99,0.00432686191818182
"brier",5,0,5,0.995,0.00312440336818182
"brier",5,0,6,0.9,0.0373099368818182
"brier",5,0,6,0.91,0.0359892846181818
"brier",5,0,6,0.92,0.0340696396909091
"brier",5,0,6,0.93,0.0321120279454545
"brier",5,0,6,0.94,0.0287254402954545
"brier",5,0,6,0.95,0.0256224310681818
"brier",5,0,6,0.96,0.0223405848363636
"brier",5,0,6,0.97,0.0192992949772727
"brier",5,0,6,0.98,0.0144306506136364
"brier",5,0,6,0.99,0.00625655057727273
"brier",5,0,6,0.995,0.00335871640454545
"brier",5,0,7,0.9,0.0388889087090909
"brier",5,0,7,0.91,0.0361289196045455
"brier",5,0,7,0.92,0.0312966873045455
"brier",5,0,7,0.93,0.0243858267909091
"brier",5,0,7,0.94,0.0163292549636364
"brier",5,0,7,0.95,0.00976348854545455
"brier",5,0,7,0.96,4.20415681818182e-05
"brier",5,0,7,0.97,0.00778460974545455
"brier",5,0,7,0.98,0.0106336119
"brier",5,0,7,0.99,0.00720742524090909
"brier",5,0,7,0.995,0.00217424510909091
"brier",5,0,8,0.9,0.0296122698636364
