"method","mrts_k","coverage_95","mean_width_95","n"
2,0,0.333333333333333,2.73767865629328,3
2,3,0.333333333333333,2.94690806498664,3
2,5,0.666666666666667,1.40106163808472,3
2,8,0.333333333333333,2.12279130836308,3
2,10,0.333333333333333,2.15395386751083,3
2,12,0.333333333333333,2.13303725169854,3
2,15,0.333333333333333,2.10563009164335,3
2,20,0.333333333333333,2.66127056257805,3
2,25,0.333333333333333,2.29894582679832,3
4,0,0.333333333333333,0.567171756118,3
4,3,0.333333333333333,0.565618924368967,3
4,5,0,0.372850857353392,3
4,8,0.333333333333333,0.570715513385118,3
4,10,0,0.381637091519287,3
4,12,0.333333333333333,0.606519929508311,3
4,15,0.333333333333333,0.572146405340832,3
4,20,0.333333333333333,0.633586475792681,3
4,25,0.333333333333333,0.630038750092546,3
