"score","method","mrts_k","dataset","quantile","value"
"brier",2,0,1,0.9,0.0177703182727273
"brier",2,0,1,0.91,0.0160545656909091
"brier",2,0,1,0.92,0.0153496634227273
"brier",2,0,1,0.93,0.0118122152636364
"brier",2,0,1,0.94,0.00821579524545455
"brier",2,0,1,0.95,0.00594735801818182
"brier",2,0,1,0.96,0.00550069045454545
"brier",2,0,1,0.97,0.00706886925909091
"brier",2,0,1,0.98,0.00816156723181818
"brier",2,0,1,0.99,0.00434739306363636
"brier",2,0,1,0.995,0.00266956433181818
"brier",2,0,2,0.9,0.0257031241363636
"brier",2,0,2,0.91,0.0239935396136364
"brier",2,0,2,0.92,0.0202749355227273
"brier",2,0,2,0.93,0.0156819045227273
"brier",2,0,2,0.94,0.0142929162045455
"brier",2,0,2,0.95,0.01082292435
"brier",2,0,2,0.96,0.00497180157272727
"brier",2,0,2,0.97,0.00396989249090909
"brier",2,0,2,0.98,0.00215567811363636
"brier",2,0,2,0.99,0.00281640966818182
"brier",2,0,2,0.995,0.00328737596363636
"brier",2,0,3,0.9,0.0240873834818182
"brier",2,0,3,0.91,0.0216019713863636
"brier",2,0,3,0.92,0.0169971470818182
"brier",2,0,3,0.93,0.0151649901772727
"brier",2,0,3,0.94,0.0125599966318182
"brier",2,0,3,0.95,0.0114617635409091
"brier",2,0,3,0.96,0.00899180899545455
"brier",2,0,3,0.97,0.00763745290454545
"brier",2,0,3,0.98,0.00746663669545455
"brier",2,0,3,0.99,0.00340354686363636
"brier",2,0,3,0.995,0.00276990282727273
"brier",2,0,4,0.9,0.0209403880681818
"brier",2,0,4,0.91,0.0186710496909091
"brier",2,0,4,0.92,0.0161266865045455
"brier",2,0,4,0.93,0.0167757753954545
"brier",2,0,4,0.94,0.0127979213863636
"brier",2,0,4,0.95,0.00936483341818182
"brier",2,0,4,0.96,0.00705636295909091
"brier",2,0,4,0.97,0.00481263177272727
"brier",2,0,4,0.98,3.26797681818182e-05
"brier",2,0,4,0.99,0.00188381329545455
"brier",2,0,4,0.995,0.00188858068636364
"brier",2,0,5,0.9,0.0253089128272727
"brier",2,0,5,0.91,0.0241561918272727
"brier",2,0,5,0.92,0.0224376501
"brier",2,0,5,0.93,0.0241854095727273
"brier",2,0,5,0.94,0.0230745152636364
"brier",2,0,5,0.95,0.0230884387727273
