"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,4,0,0.0308611817736364
"brier",0.91,4,0,0.0281117275090909
"brier",0.92,4,0,0.0249499648077273
"brier",0.93,4,0,0.0214777782890909
"brier",0.94,4,0,0.0185853109981818
"brier",0.95,10,0,0.0158647656968182
"brier",0.96,4,0,0.0134457142077273
"brier",0.97,4,0,0.0108013415981818
"brier",0.98,8,0,0.00766543401181818
"brier",0.99,10,0,0.00409721339136364
"brier",0.995,10,0,0.00248163732272727
"quant",0.9,8,0,1.88698393358044
"quant",0.91,10,0,1.77299882515717
"quant",0.92,10,0,1.65001722010298
"quant",0.93,8,0,1.51706529276102
"quant",0.94,4,0,1.37178813621684
"quant",0.95,4,0,1.21188935118147
"quant",0.96,4,0,1.0351340355603
"quant",0.97,4,0,0.838189109896008
"quant",0.98,4,0,0.613912182713033
"quant",0.99,8,0,0.3334474576377
"quant",0.995,8,0,0.176769801690813
