"score","method","mrts_k","dataset","quantile","value"
"brier",1,0,14,0.96,NA
"brier",1,0,14,0.97,NA
"brier",1,0,14,0.98,NA
"brier",1,0,14,0.99,NA
"brier",1,0,14,0.995,NA
"brier",1,0,15,0.9,NA
"brier",1,0,15,0.91,NA
"brier",1,0,15,0.92,NA
"brier",1,0,15,0.93,NA
"brier",1,0,15,0.94,NA
"brier",1,0,15,0.95,NA
"brier",1,0,15,0.96,NA
"brier",1,0,15,0.97,NA
"brier",1,0,15,0.98,NA
"brier",1,0,15,0.99,NA
"brier",1,0,15,0.995,NA
"brier",1,0,16,0.9,NA
"brier",1,0,16,0.91,NA
"brier",1,0,16,0.92,NA
"brier",1,0,16,0.93,NA
"brier",1,0,16,0.94,NA
"brier",1,0,16,0.95,NA
"brier",1,0,16,0.96,NA
"brier",1,0,16,0.97,NA
"brier",1,0,16,0.98,NA
"brier",1,0,16,0.99,NA
"brier",1,0,16,0.995,NA
"brier",1,0,17,0.9,NA
"brier",1,0,17,0.91,NA
"brier",1,0,17,0.92,NA
"brier",1,0,17,0.93,NA
"brier",1,0,17,0.94,NA
"brier",1,0,17,0.95,NA
"brier",1,0,17,0.96,NA
"brier",1,0,17,0.97,NA
"brier",1,0,17,0.98,NA
"brier",1,0,17,0.99,NA
"brier",1,0,17,0.995,NA
"brier",1,0,18,0.9,NA
"brier",1,0,18,0.91,NA
"brier",1,0,18,0.92,NA
"brier",1,0,18,0.93,NA
"brier",1,0,18,0.94,NA
"brier",1,0,18,0.95,NA
"brier",1,0,18,0.96,NA
"brier",1,0,18,0.97,NA
"brier",1,0,18,0.98,NA
"brier",1,0,18,0.99,NA
"brier",1,0,18,0.995,NA
"brier",1,0,19,0.9,NA
"brier",1,0,19,0.91,NA
"brier",1,0,19,0.92,NA
"brier",1,0,19,0.93,NA
"brier",1,0,19,0.94,NA
"brier",1,0,19,0.95,NA
"brier",1,0,19,0.96,NA
"brier",1,0,19,0.97,NA
"brier",1,0,19,0.98,NA
"brier",1,0,19,0.99,NA
"brier",1,0,19,0.995,NA
"brier",1,0,20,0.9,NA
"brier",1,0,20,0.91,NA
"brier",1,0,20,0.92,NA
"brier",1,0,20,0.93,NA
"brier",1,0,20,0.94,NA
"brier",1,0,20,0.95,NA
"brier",1,0,20,0.96,NA
"brier",1,0,20,0.97,NA
"brier",1,0,20,0.98,NA
"brier",1,0,20,0.99,NA
"brier",1,0,20,0.995,NA
"brier",1,0,21,0.9,NA
"brier",1,0,21,0.91,NA
"brier",1,0,21,0.92,NA
"brier",1,0,21,0.93,NA
"brier",1,0,21,0.94,NA
"brier",1,0,21,0.95,NA
"brier",1,0,21,0.96,NA
"brier",1,0,21,0.97,NA
"brier",1,0,21,0.98,NA
"brier",1,0,21,0.99,NA
"brier",1,0,21,0.995,NA
"brier",1,0,22,0.9,NA
"brier",1,0,22,0.91,NA
"brier",1,0,22,0.92,NA
"brier",1,0,22,0.93,NA
"brier",1,0,22,0.94,NA
"brier",1,0,22,0.95,NA
"brier",1,0,22,0.96,NA
"brier",1,0,22,0.97,NA
"brier",1,0,22,0.98,NA
"brier",1,0,22,0.99,NA
"brier",1,0,22,0.995,NA
"brier",1,0,23,0.9,NA
"brier",1,0,23,0.91,NA
"brier",1,0,23,0.92,NA
"brier",1,0,23,0.93,NA
"brier",1,0,23,0.94,NA
"brier",1,0,23,0.95,NA
"brier",1,0,23,0.96,NA
"brier",1,0,23,0.97,NA
"brier",1,0,23,0.98,NA
