"score","method","mrts_k","quantile","mean","median","rel_mean","rel_median"
"brier",1,0,0.9,0.0204934878768182,0.0197171356,1,1
"brier",1,0,0.91,0.0186690507009091,0.0188744918159091,1,1
"brier",1,0,0.92,0.0173836678972727,0.0186940519636364,1,1
"brier",1,0,0.93,0.0155224272740909,0.0168278224045455,1,1
"brier",1,0,0.94,0.0147966439118182,0.0155259945477273,1,1
"brier",1,0,0.95,0.0124703241431818,0.0136569911454545,1,1
"brier",1,0,0.96,0.0113569618131818,0.0122113880454545,1,1
"brier",1,0,0.97,0.00879625528272727,0.00875827703409091,1,1
"brier",1,0,0.98,0.00563637234636364,0.00666622853181818,1,1
"brier",1,0,0.99,0.004616807825,0.00382803589545455,1,1
"brier",1,0,0.995,0.00350647559,0.00361981700909091,1,1
"brier",2,0,0.9,0.0197515689945455,0.0191120360045455,0.963797334707872,0.969310978646688
"brier",2,0,0.91,0.0180927958581818,0.0181160735,0.969133147048596,0.959817815318883
"brier",2,0,0.92,0.0169144636440909,0.0179631452295455,0.973008903762167,0.960901642109872
"brier",2,0,0.93,0.0149911389081818,0.016218400225,0.965772855203137,0.963784846019005
"brier",2,0,0.94,0.0140765691613636,0.0149630437113636,0.951335265297598,0.963741399326587
"brier",2,0,0.95,0.0118735332563636,0.0129872695431818,0.952143113525683,0.950961262613425
"brier",2,0,0.96,0.0106934826809091,0.0112330588704545,0.941579522482621,0.919883868127165
"brier",2,0,0.97,0.00844995712772727,0.00856550225454545,0.960631184081252,0.977989417462465
"brier",2,0,0.98,0.00547116624909091,0.00619653724772727,0.97068928610096,0.929541676849353
"brier",2,0,0.99,0.00406905002727273,0.00369156486590909,0.881355729220271,0.964349595125923
"brier",2,0,0.995,0.00291901283090909,0.00310391649545455,0.832463468228248,0.857478841515823
"brier",3,0,0.9,0.0199533260913636,0.0193156371727273,0.973642271696193,0.979637081398744
"brier",3,0,0.91,0.0182559691354545,0.0179859601863636,0.977873456338386,0.952924209127765
"brier",3,0,0.92,0.0171664589977273,0.01810097815,0.987505001773559,0.968274731728038
"brier",3,0,0.93,0.0152797459809091,0.0164964396181818,0.984365763878508,0.980307446893775
"brier",3,0,0.94,0.0142230350604545,0.0151651956295455,0.961233854461721,0.976761622769304
"brier",3,0,0.95,0.0120595801063636,0.0131572298204545,0.96706228065108,0.963406191035986
"brier",3,0,0.96,0.0107248631604545,0.0112483436409091,0.94434262762127,0.921135549786748
"brier",3,0,0.97,0.00843264789272727,0.0084337734,0.958663388190427,0.962948918739633
"brier",3,0,0.98,0.005468905215,0.00614510256818182,0.970288135511189,0.921825967839385
"brier",3,0,0.99,0.00405994981909091,0.00366645405454545,0.879384625261267,0.95778988355335
"brier",3,0,0.995,0.00290273907909091,0.0030532168,0.827822411588757,0.843472692772056
"brier",4,0,0.9,0.0200338694613636,0.0194358698386364,0.977572465057329,0.985734958308871
"brier",4,0,0.91,0.01831028542,0.0181208896363636,0.980782885715147,0.960072981731341
"brier",4,0,0.92,0.0171344313381818,0.01813201845,0.985662602359654,0.969935168965528
"brier",4,0,0.93,0.0151213027986364,0.0163412701727273,0.974158392346017,0.971086441244664
"brier",4,0,0.94,0.0142304978359091,0.0150704701477273,0.961738210415613,0.970660533301122
