"score","method","mrts_k","quantile","mean","median"
"brier",1,0,0.9,0.0332494729613636,0.0337575763363636
"brier",1,0,0.91,0.0305425554263636,0.0315051473227273
"brier",1,0,0.92,0.027146552775,0.0276193950318182
"brier",1,0,0.93,0.0241101752263636,0.0240455537477273
"brier",1,0,0.94,0.021228247165,0.0218082051318182
"brier",1,0,0.95,0.0187300681022727,0.0195305941659091
"brier",1,0,0.96,0.0151502668213636,0.014782109725
"brier",1,0,0.97,0.0117079896322727,0.0123555142659091
"brier",1,0,0.98,0.00827714671590909,0.00859540015681818
"brier",1,0,0.99,0.00488417457090909,0.00428014858636364
"brier",1,0,0.995,0.00292884510954545,0.00273060779090909
"brier",2,0,0.9,0.0330445004872727,0.0336936852909091
"brier",2,0,0.91,0.0303675469754545,0.0314072028386364
"brier",2,0,0.92,0.0269795416863636,0.0276851771363636
"brier",2,0,0.93,0.0240405515927273,0.0237991282386364
"brier",2,0,0.94,0.0211416921890909,0.0213808047886364
"brier",2,0,0.95,0.0186378604659091,0.0191429975931818
"brier",2,0,0.96,0.0151202913713636,0.0147606773340909
"brier",2,0,0.97,0.0115507804227273,0.0122186060545455
"brier",2,0,0.98,0.00810789861818182,0.00835140505681818
"brier",2,0,0.99,0.00465828221818182,0.00403737018181818
"brier",2,0,0.995,0.00275930285090909,0.00251921991363636
"brier",3,0,0.9,0.0319345617822727,0.0332689751045454
"brier",3,0,0.91,0.0291729283554545,0.0302402437090909
"brier",3,0,0.92,0.0259046613627273,0.0265428122318182
"brier",3,0,0.93,0.0231127361959091,0.0231315156704545
"brier",3,0,0.94,0.0203479961627273,0.0200950022681818
"brier",3,0,0.95,0.0179993722740909,0.0184019058704545
"brier",3,0,0.96,0.0146405471940909,0.0142614046613636
"brier",3,0,0.97,0.0112087992136364,0.0120277330681818
"brier",3,0,0.98,0.00796784617954546,0.00821218865909091
"brier",3,0,0.99,0.00464135189590909,0.00419732869090909
"brier",3,0,0.995,0.00277004363818182,0.00254713438409091
"brier",4,0,0.9,0.0304923934986364,0.0322009003022727
"brier",4,0,0.91,0.0278461394927273,0.0281348595681818
"brier",4,0,0.92,0.0248275912845455,0.0253231964590909
"brier",4,0,0.93,0.0221571643368182,0.0217818568522727
"brier",4,0,0.94,0.0194316378145455,0.0188099310431818
"brier",4,0,0.95,0.0170360971172727,0.0178305334159091
"brier",4,0,0.96,0.0136619391395455,0.0134293698545455
"brier",4,0,0.97,0.0104187991854545,0.0105525344204545
"brier",4,0,0.98,0.00722397753454545,0.007591994625
"brier",4,0,0.99,0.00422019158636364,0.0035397987
"brier",4,0,0.995,0.00239951063045455,0.00224790372045455
"brier",5,0,0.9,0.0308280171713636,0.0320759781386364
"brier",5,0,0.91,0.0282025160481818,0.0291683799568182
"brier",5,0,0.92,0.0249882464804545,0.0255054736818182
"brier",5,0,0.93,0.0221690580959091,0.0222804108931818
"brier",5,0,0.94,0.0195131102090909,0.0192318867863636
"brier",5,0,0.95,0.0171966768231818,0.0174526467
"brier",5,0,0.96,0.0139529923909091,0.0137764102113636
"brier",5,0,0.97,0.0106731925668182,0.01141005225
"brier",5,0,0.98,0.00749218521545455,0.00748207215909091
"brier",5,0,0.99,0.00425835698863636,0.00368558442272727
"brier",5,0,0.995,0.00262415722363636,0.00223140785227273
"brier",7,0,0.9,0.0330541659195455,0.0336964215295455
"brier",7,0,0.91,0.0303731727618182,0.0314135059204545
"brier",7,0,0.92,0.0269834824431818,0.0276493450931818
"brier",7,0,0.93,0.0240341356790909,0.023732702025
"brier",7,0,0.94,0.0211397307222727,0.0214017833045455
"brier",7,0,0.95,0.0186447873004545,0.0191317801863636
"brier",7,0,0.96,0.0151163771572727,0.0147501428295455
"brier",7,0,0.97,0.0115447407854545,0.0121937829522727
"brier",7,0,0.98,0.00809293614636364,0.00834011145227273
"brier",7,0,0.99,0.00465802933409091,0.00404134193636364
"brier",7,0,0.995,0.00275444378954545,0.00252547223181818
"brier",8,0,0.9,0.0306607714959091,0.0325494303681818
"brier",8,0,0.91,0.0279506049368182,0.0288632416659091
"brier",8,0,0.92,0.0249163529977273,0.0264894587386364
"brier",8,0,0.93,0.0221955879086364,0.0222945629909091
"brier",8,0,0.94,0.0194783834504545,0.0191329629522727
"brier",8,0,0.95,0.0171363128318182,0.0176112730136364
"brier",8,0,0.96,0.0137692310522727,0.0133362505590909
"brier",8,0,0.97,0.0104317325195455,0.0106952498522727
"brier",8,0,0.98,0.00728152808045455,0.00741293236590909
"brier",8,0,0.99,0.00430101269772727,0.00359916707954545
"brier",8,0,0.995,0.00239120370454545,0.00209252778863636
"brier",9,0,0.9,0.0330452176227273,0.0337099445340909
"brier",9,0,0.91,0.030369602465,0.0314247395931818
"brier",9,0,0.92,0.0269921179945455,0.0276562961454545
"brier",9,0,0.93,0.0240452010427273,0.0237619000318182
"brier",9,0,0.94,0.0211508415459091,0.02140502925
"brier",9,0,0.95,0.0186466859263636,0.0191257131954545
"brier",9,0,0.96,0.0151160583968182,0.014754831025
"brier",9,0,0.97,0.0115418158172727,0.0121917099909091
"brier",9,0,0.98,0.00809201465772727,0.00831895012954545
"brier",9,0,0.99,0.00465669710045455,0.00402436828181818
