"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",1,0,0.9,1,1
"brier",1,0,0.91,1,1
"brier",1,0,0.92,1,1
"brier",1,0,0.93,1,1
"brier",1,0,0.94,1,1
"brier",1,0,0.95,1,1
"brier",1,0,0.96,1,1
"brier",1,0,0.97,1,1
"brier",1,0,0.98,1,1
"brier",1,0,0.99,1,1
"brier",1,0,0.995,1,1
"brier",2,0,0.9,0.984190870953841,0.987704940574196
"brier",2,0,0.91,0.982814867623531,0.979091936438274
"brier",2,0,0.92,0.981219656451491,0.978044530265787
"brier",2,0,0.93,0.97929408946485,0.985399212807424
"brier",2,0,0.94,0.977257639945355,0.970557052360507
"brier",2,0,0.95,0.97498346358689,0.967660578414377
"brier",2,0,0.96,0.973044263995118,0.963117702181535
"brier",2,0,0.97,0.971534043890473,0.96899816772773
"brier",2,0,0.98,0.970060257183487,0.97908249635129
"brier",2,0,0.99,0.958558970140543,0.956473004833135
"brier",2,0,0.995,0.958416720924693,0.95346802979763
"brier",3,0,0.9,0.98552618184296,0.983001938896167
"brier",3,0,0.91,0.98342678365392,0.975969206588778
"brier",3,0,0.92,0.981143860435155,0.980123147404283
"brier",3,0,0.93,0.978668261640495,0.979801237891648
"brier",3,0,0.94,0.975967133108896,0.976724582731229
"brier",3,0,0.95,0.972948711312457,0.968207768197328
"brier",3,0,0.96,0.970053764050562,0.959627073856833
"brier",3,0,0.97,0.967372821800932,0.969885437648132
"brier",3,0,0.98,0.965998123083178,0.986110209761385
"brier",3,0,0.99,0.957978599216506,0.949393912819863
"brier",3,0,0.995,0.965341166435745,0.967330947563078
"brier",4,0,0.9,1.00719589177243,0.993923203937242
"brier",4,0,0.91,1.0069693300187,0.991415583125692
"brier",4,0,0.92,1.00737830028539,0.998054749158718
"brier",4,0,0.93,1.00764026154843,1.00152446539742
"brier",4,0,0.94,1.00877288157479,1.00973359703711
"brier",4,0,0.95,1.0104236756183,1.01383706249457
"brier",4,0,0.96,1.0120536791074,1.01540550703985
"brier",4,0,0.97,1.01424973187704,0.993450031119142
"brier",4,0,0.98,1.01725694753777,1.04012899111796
"brier",4,0,0.99,1.0199222565244,1.0549198989798
"brier",4,0,0.995,1.03345440342057,1.0489113137065
"brier",5,0,0.9,0.999053380789004,0.98614574531708
"brier",5,0,0.91,0.996889052618864,0.983398170840383
"brier",5,0,0.92,0.994910000971018,0.987985882580102
"brier",5,0,0.93,0.993093314472119,0.98967003633574
"brier",5,0,0.94,0.991927519823387,0.99108373480471
"brier",5,0,0.95,0.99094173295475,0.979834612236955
"brier",5,0,0.96,0.989846173516726,0.989755627634002
"brier",5,0,0.97,0.98986543905808,0.967405945382603
"brier",5,0,0.98,0.988702049194736,1.00136523873823
"brier",5,0,0.99,0.983347133431541,0.967489064369115
"brier",5,0,0.995,0.99314934269261,0.984454217933047
"brier",1,15,0.9,1,1
"brier",1,15,0.91,1,1
"brier",1,15,0.92,1,1
"brier",1,15,0.93,1,1
"brier",1,15,0.94,1,1
"brier",1,15,0.95,1,1
"brier",1,15,0.96,1,1
"brier",1,15,0.97,1,1
"brier",1,15,0.98,1,1
"brier",1,15,0.99,1,1
"brier",1,15,0.995,1,1
"brier",2,15,0.9,0.98422846606444,0.987914090448374
"brier",2,15,0.91,0.982875975602456,0.979716679051033
"brier",2,15,0.92,0.981306385106892,0.978090399756824
"brier",2,15,0.93,0.979255313216365,0.985188483334694
"brier",2,15,0.94,0.977206197682191,0.969380771041644
"brier",2,15,0.95,0.974865170152641,0.967997939117251
"brier",2,15,0.96,0.972918630110959,0.962496437805786
"brier",2,15,0.97,0.97129132569112,0.969721466751125
"brier",2,15,0.98,0.969584545856363,0.978154611456321
"brier",2,15,0.99,0.958220060247122,0.956745721229108
"brier",2,15,0.995,0.957928131618068,0.954624204345293
"brier",3,15,0.9,0.98574572898983,0.984938902056757
"brier",3,15,0.91,0.983798576805429,0.976206245837836
"brier",3,15,0.92,0.981606970073601,0.982825400460345
"brier",3,15,0.93,0.9791150207715,0.97705047991953
"brier",3,15,0.94,0.976590610174905,0.976682899708045
"brier",3,15,0.95,0.973676147104674,0.969848912988064
"brier",3,15,0.96,0.970788008983212,0.96067917272253
"brier",3,15,0.97,0.968216015648227,0.972066273899066
"brier",3,15,0.98,0.966753647655822,0.983967865748869
"brier",3,15,0.99,0.959101725456317,0.951206476640751
"brier",3,15,0.995,0.9668532800682,0.971805882882359
"brier",4,15,0.9,1.00733587614607,0.993712777979225
"brier",4,15,0.91,1.00724344577672,0.990610878910309
"brier",4,15,0.92,1.00787857347949,0.999583083323858
"brier",4,15,0.93,1.00810173505632,1.00210736421964
"brier",4,15,0.94,1.00912081246884,1.00169979016887
"brier",4,15,0.95,1.01070481479593,0.99735042103805
"brier",4,15,0.96,1.01163405176291,1.01095410753695
"brier",4,15,0.97,1.01205200258763,0.995415180901543
"brier",4,15,0.98,1.01301259510573,1.01639096813144
"brier",4,15,0.99,1.0110684484016,1.02732908468244
"brier",4,15,0.995,1.01651567911202,1.02521567492546
"brier",5,15,0.9,0.998035385121415,0.988295243282413
"brier",5,15,0.91,0.995896935054913,0.981801633368003
"brier",5,15,0.92,0.994055255676612,0.987060922202591
"brier",5,15,0.93,0.992325053120676,0.988966818701822
"brier",5,15,0.94,0.990929445781904,0.993814426480255
"brier",5,15,0.95,0.989698118835129,0.979034609465709
"brier",5,15,0.96,0.987828760059394,0.982646903735245
"brier",5,15,0.97,0.986447158197934,0.975107739671671
"brier",5,15,0.98,0.984577834390946,1.00440260417096
"brier",5,15,0.99,0.979786928461473,0.982621680366764
"brier",5,15,0.995,0.99126980931964,0.996337466989729
"quant",1,0,0.9,1,1
"quant",1,0,0.91,1,1
"quant",1,0,0.92,1,1
"quant",1,0,0.93,1,1
"quant",1,0,0.94,1,1
"quant",1,0,0.95,1,1
"quant",1,0,0.96,1,1
"quant",1,0,0.97,1,1
