"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
13,1,0,"beta.0",10,14.3327638654221,14.4644299342452,0.622909640471714,0.394998431209175
13,2,0,"beta.0",10,15.5200883261535,10.465005478149,7.47943621606217,0.353913596679978
13,3,0,"beta.0",10,14.6922084610815,14.9126021219626,0.810677541980716,0.353955274605563
13,4,0,"beta.0",10,12.9409345095617,13.4663568746319,1.81199071485129,0.295994523899891
13,5,0,"beta.0",10,15.1960867180073,15.4899133729795,1.47028668492415,0.272766735487377
13,7,0,"beta.0",10,9.86599412632976,9.81941635544528,0.358844580082029,0.316442119948916
13,8,0,"beta.0",10,12.7358405294708,10.5477717881474,5.39971916567561,0.863694995074823
13,1,0,"beta.1",10,0.00539279697686834,0.00740194307099863,0.0143288345231166,0.0374378378860364
13,2,0,"beta.1",10,0.00690410909367498,0.00833575827590741,0.0144988141436043,0.0147069958837383
13,3,0,"beta.1",10,-0.00721934986132886,-0.000261456960159955,0.0328805176763379,0.0403281712013738
13,4,0,"beta.1",10,0.00655786522686116,0.00528089511843218,0.0145934076009975,0.0289375303712455
13,5,0,"beta.1",10,0.00791277100731068,0.00661640711826774,0.0353295676269001,0.029157573694929
13,7,0,"beta.1",10,0.00692853524947001,0.00847140733567752,0.0148550682627643,0.0144559935068634
13,8,0,"beta.1",10,0.00490400511950433,0.00648599973486267,0.0132746768095661,0.0251501559856261
13,1,0,"beta.2",10,0.0031020028129239,0.00206238648890996,0.0176371747801973,0.0372042151753906
13,2,0,"beta.2",10,0.00336125290889847,0.00370746260771266,0.0120031590781949,0.0146618305300292
13,3,0,"beta.2",10,-0.0103703127740231,-0.0170042888284382,0.0338472362367184,0.0393011180489488
13,4,0,"beta.2",10,-0.0046363333599177,-0.00636873236256669,0.0132360520978544,0.0291377575204386
13,5,0,"beta.2",10,0.00293696172796489,0.0145694524784556,0.0395663989785384,0.0297999176741585
13,7,0,"beta.2",10,0.00346320182109805,0.00382301401155627,0.0120157537095706,0.0144548747688923
13,8,0,"beta.2",10,-0.000726058561036916,0.00198465547310211,0.00927501980165743,0.0244289579235351
13,1,0,"tau.alpha",10,0.2,0.2,0,0
13,2,0,"tau.alpha",10,5.344098,5.42652,0.958797534215529,1.01640736094123
13,3,0,"tau.alpha",10,2.280155,2.082625,0.547139128827801,0.521798346411377
13,4,0,"tau.alpha",10,5.681822,5.56911,1.07334207847162,0.621186942677417
