"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,5,0,0.109251642303788
"brier",0.91,5,0,0.0992979956665151
"brier",0.92,5,0,0.0881334334310606
"brier",0.93,5,0,0.0778414102431818
"brier",0.94,5,0,0.0670405114822727
"brier",0.95,5,0,0.0563282322890909
"brier",0.96,5,0,0.0452732638440909
"brier",0.97,1,0,0.0345491984851515
"brier",0.98,1,0,0.023069377720303
"brier",0.99,1,0,0.0111366716728788
"brier",0.995,1,0,0.0056905978180303
"quant",0.9,2,0,0.724702084160478
"quant",0.91,2,0,0.675560043337498
"quant",0.92,2,0,0.623851425300161
"quant",0.93,2,0,0.56935773090818
"quant",0.94,2,0,0.511505636541293
"quant",0.95,1,0,0.44946006330509
"quant",0.96,1,0,0.382572253238005
"quant",0.97,1,0,0.309962295067757
"quant",0.98,3,0,0.229333921635381
"quant",0.99,3,0,0.135712889268988
"quant",0.995,3,0,0.0795493574711817
