"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,25,0.0223540517040909
"brier",0.91,2,10,0.0204396253236364
"brier",0.92,2,10,0.0182372392786364
"brier",0.93,2,10,0.0167495377372727
"brier",0.94,2,5,0.0149708262722727
"brier",0.95,2,5,0.0129566217054545
"brier",0.96,2,5,0.0105376709577273
"brier",0.97,2,8,0.00902451355590909
"brier",0.98,2,8,0.006986424725
"brier",0.99,2,12,0.00481216728727273
"brier",0.995,2,8,0.00310289701772727
"quant",0.9,2,10,3.12084924568748
"quant",0.91,2,25,2.93564992328954
"quant",0.92,2,25,2.73726586770817
"quant",0.93,2,3,2.52115145369031
"quant",0.94,2,20,2.28803527211114
"quant",0.95,2,8,2.0332117395879
"quant",0.96,2,12,1.75550098645892
"quant",0.97,2,8,1.44193662046503
"quant",0.98,2,12,1.08458983026479
"quant",0.99,2,15,0.590143151235904
"quant",0.995,2,20,0.311671021259651
