"score","method","mrts_k","dataset","quantile","value"
"brier",1,0,1,0.9,0.0251103665454545
"brier",1,0,1,0.91,0.0253564497863636
"brier",1,0,1,0.92,0.0227552807909091
"brier",1,0,1,0.93,0.0199946607409091
"brier",1,0,1,0.94,0.0185283661409091
"brier",1,0,1,0.95,0.0152024658636364
"brier",1,0,1,0.96,0.0129533679954545
"brier",1,0,1,0.97,0.00965272307727273
"brier",1,0,1,0.98,0.00718769986818182
"brier",1,0,1,0.99,0.00299312311363636
"brier",1,0,1,0.995,0.00188786161818182
"brier",1,0,2,0.9,0.0404064085181818
"brier",1,0,2,0.91,0.0359595197363636
"brier",1,0,2,0.92,0.0305389131272727
"brier",1,0,2,0.93,0.0261664565590909
"brier",1,0,2,0.94,0.0229876810363636
"brier",1,0,2,0.95,0.0219094511363636
"brier",1,0,2,0.96,0.0171476216045455
"brier",1,0,2,0.97,0.0115252091954545
"brier",1,0,2,0.98,0.00468125358636364
"brier",1,0,2,0.99,0.00176374837272727
"brier",1,0,2,0.995,0.00130005436363636
"brier",1,0,3,0.9,0.0275660342227273
"brier",1,0,3,0.91,0.0241783349090909
"brier",1,0,3,0.92,0.02147558885
"brier",1,0,3,0.93,0.0156014515590909
"brier",1,0,3,0.94,0.0119783841227273
"brier",1,0,3,0.95,0.00975024424090909
"brier",1,0,3,0.96,0.00998918709545455
"brier",1,0,3,0.97,0.00723451765454545
"brier",1,0,3,0.98,0.00617880260454545
"brier",1,0,3,0.99,0.00272336409545455
"brier",1,0,3,0.995,0.000340920672727273
"brier",1,0,4,0.9,0.0298107419545455
"brier",1,0,4,0.91,0.0262919425772727
"brier",1,0,4,0.92,0.0237898332818182
"brier",1,0,4,0.93,0.0180588154272727
"brier",1,0,4,0.94,0.0152606932909091
"brier",1,0,4,0.95,0.0130740462045455
"brier",1,0,4,0.96,0.0103264142863636
"brier",1,0,4,0.97,0.0101626338454545
"brier",1,0,4,0.98,0.00997317369545454
"brier",1,0,4,0.99,0.00767445748181818
"brier",1,0,4,0.995,0.00410238413181818
"brier",1,0,5,0.9,0.0382805759045455
"brier",1,0,5,0.91,0.0364696033636364
"brier",1,0,5,0.92,0.0326472118909091
"brier",1,0,5,0.93,0.0279878312863636
"brier",1,0,5,0.94,0.0231896847863636
"brier",1,0,5,0.95,0.0182449346772727
"brier",1,0,5,0.96,0.0159594444045455
"brier",1,0,5,0.97,0.0161061687
"brier",1,0,5,0.98,0.0107292836681818
"brier",1,0,5,0.99,0.00741614775454545
"brier",1,0,5,0.995,0.00427104956818182
