"score","method","mrts_k","dataset","quantile","value"
"brier",1,0,1,0.9,0.0485490507454545
"brier",1,0,1,0.91,0.0449952257318182
"brier",1,0,1,0.92,0.0386849703136364
"brier",1,0,1,0.93,0.0320170675363636
"brier",1,0,1,0.94,0.0287931695909091
"brier",1,0,1,0.95,0.0259352578363636
"brier",1,0,1,0.96,0.0223930954636364
"brier",1,0,1,0.97,0.0171636862954545
"brier",1,0,1,0.98,0.0128189886045455
"brier",1,0,1,0.99,0.00678117729090909
"brier",1,0,1,0.995,0.00387729047272727
"brier",1,0,2,0.9,0.0259744431909091
"brier",1,0,2,0.91,0.0244640057454545
"brier",1,0,2,0.92,0.0242750886590909
"brier",1,0,2,0.93,0.0236976422954545
"brier",1,0,2,0.94,0.0209026592863636
"brier",1,0,2,0.95,0.02092304205
"brier",1,0,2,0.96,0.0184826705
"brier",1,0,2,0.97,0.0146264489590909
"brier",1,0,2,0.98,0.0104478216363636
"brier",1,0,2,0.99,0.00573340389545455
"brier",1,0,2,0.995,0.00251393298636364
"brier",1,0,3,0.9,0.0199834470454545
"brier",1,0,3,0.91,0.0183005538045455
"brier",1,0,3,0.92,0.0155232367545455
"brier",1,0,3,0.93,0.0118430020318182
"brier",1,0,3,0.94,0.0123258189363636
"brier",1,0,3,0.95,0.0112098047954545
"brier",1,0,3,0.96,0.00678866076818182
"brier",1,0,3,0.97,0.00357163234545455
"brier",1,0,3,0.98,0.00338829610909091
"brier",1,0,3,0.99,0.00521667062272727
"brier",1,0,3,0.995,0.00305686019545455
"brier",1,0,4,0.9,0.0459808413909091
"brier",1,0,4,0.91,0.0423973687136364
"brier",1,0,4,0.92,0.03818220555
"brier",1,0,4,0.93,0.0314822326545455
"brier",1,0,4,0.94,0.0247582706727273
"brier",1,0,4,0.95,0.0206041557363636
"brier",1,0,4,0.96,0.01394493315
"brier",1,0,4,0.97,0.00603187990454545
"brier",1,0,4,0.98,0.000442644686363636
"brier",1,0,4,0.99,0.00427029986818182
"brier",1,0,4,0.995,0.00277658344090909
"brier",1,0,5,0.9,0.0157753378818182
"brier",1,0,5,0.91,0.0119455936227273
"brier",1,0,5,0.92,0.00982754261363636
"brier",1,0,5,0.93,0.0115196915272727
"brier",1,0,5,0.94,0.0107497381090909
"brier",1,0,5,0.95,0.00987271112727273
"brier",1,0,5,0.96,0.0111994426090909
"brier",1,0,5,0.97,0.0087709552
"brier",1,0,5,0.98,0.00604654336363636
"brier",1,0,5,0.99,0.00505237013181818
"brier",1,0,5,0.995,0.00279284235909091
"brier",1,0,6,0.9,0.0114249960636364
"brier",1,0,6,0.91,0.0117797216681818
"brier",1,0,6,0.92,0.00880841892272727
"brier",1,0,6,0.93,0.00969646455454545
"brier",1,0,6,0.94,0.00950218590454545
"brier",1,0,6,0.95,0.0100109718863636
"brier",1,0,6,0.96,0.00920527779090909
"brier",1,0,6,0.97,0.0104170030681818
"brier",1,0,6,0.98,0.00900417449090909
"brier",1,0,6,0.99,0.00382270653636364
"brier",1,0,6,0.995,0.00282266535
"brier",1,0,7,0.9,0.0291085729545455
"brier",1,0,7,0.91,0.0259869974227273
"brier",1,0,7,0.92,0.0242124079272727
"brier",1,0,7,0.93,0.0189935367454545
"brier",1,0,7,0.94,0.0147907093409091
"brier",1,0,7,0.95,0.0110964252818182
"brier",1,0,7,0.96,0.00989856055909091
"brier",1,0,7,0.97,0.00882540490909091
"brier",1,0,7,0.98,0.00587109728181818
"brier",1,0,7,0.99,0.00331407326818182
"brier",1,0,7,0.995,0.00227044802272727
"brier",1,0,8,0.9,0.0362574426272727
"brier",1,0,8,0.91,0.0346237634590909
