"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,0,0.0235036887631818
"brier",0.91,7,0,0.0204190999868182
"brier",0.92,7,0,0.0186229259559091
"brier",0.93,7,0,0.0157543951581818
"brier",0.94,7,0,0.0142739402881818
"brier",0.95,7,0,0.0118314831877273
"brier",0.96,7,0,0.0100420832331818
"brier",0.97,7,0,0.00910112343772727
"brier",0.98,7,0,0.00714235789181818
"brier",0.99,7,0,0.00469416017727273
"brier",0.995,3,0,0.00286673232136364
"quant",0.9,7,0,2.01917583178533
"quant",0.91,7,0,1.90030331626398
"quant",0.92,7,0,1.77205259541257
"quant",0.93,2,0,1.63177145748127
"quant",0.94,2,0,1.47659993661121
"quant",0.95,7,0,1.30363471932826
"quant",0.96,3,0,1.11086515514061
"quant",0.97,2,0,0.89029555786044
"quant",0.98,2,0,0.64139490614427
"quant",0.99,7,0,0.346096709703819
"quant",0.995,7,0,0.183115984952849
