"score","method","mrts_k","mean","median","rel_mean","rel_median"
"energy",1,0,27.0231324858899,27.0004250211181,1,1
"energy",2,0,27.1955803058035,27.1342161875611,1.00638148889673,1.00495515038517
"energy",3,0,25.3442083834296,25.0345957168915,0.937870855522137,0.92719265334938
"energy",4,0,27.1062110037508,26.9813522038552,1.00307434816835,0.999293610480281
"energy",5,0,25.0759666295856,25.1654896048385,0.927944480258867,0.932040498812726
"energy",1,10,27.0260412454064,27.0097279518961,1,1
"energy",2,10,27.1973810033873,27.1401385231866,1.00633980228273,1.00482828155555
"energy",3,10,25.3157938314865,25.1801837643174,0.936718537561965,0.932263509249814
"energy",4,10,27.105566706866,27.0037722639529,1.00294254940032,0.999779498410583
"energy",5,10,24.9970007365142,25.2142179397387,0.924922762809848,0.933523580268742
"energy",1,15,27.0266297991372,27.0011618610346,1,1
"energy",2,15,27.1960169546321,27.1220486497501,1.00626741686824,1.00447709581305
"energy",3,15,25.3682435349164,25.2029160211332,0.938638806371865,0.933401168099494
"energy",4,15,27.1164981703792,26.9780668006434,1.00332517860754,0.999144664199634
"energy",5,15,24.9870777253566,24.9111950092637,0.924535464135239,0.922597151095672
"energy",1,20,27.028408592697,26.9997857698348,1,1
"energy",2,20,27.1976160103934,27.1353607715431,1.00626035443841,1.00502133620111
"energy",3,20,25.3682675012204,25.3883119287976,0.938577919384971,0.94031531010007
"energy",4,20,27.1047443340901,26.9805824593876,1.0028242780603,0.99928876063644
"energy",5,20,96.8135470291765,24.9523025110479,3.58191813983954,0.924166685015909
"variogram",1,0,792.850872077221,781.815680664855,1,1
"variogram",2,0,838.87042517876,829.838624237645,1.05804313865604,1.06142489177494
"variogram",3,0,893.058824261384,884.757470740849,1.12638940778563,1.13167015272507
"variogram",4,0,839.896283382575,831.403640895509,1.05933702410152,1.06342666367153
"variogram",5,0,763.394047924772,753.361422938733,0.962846954969888,0.963604902754158
"variogram",1,10,793.157639204659,782.138796641533,1,1
"variogram",2,10,838.947180604045,830.11326183142,1.05773069455058,1.06133753420222
"variogram",3,10,874.554911218974,877.953681988078,1.10262433089081,1.12250368573707
"variogram",4,10,839.221236971121,825.948927612496,1.05807622027401,1.05601324363282
"variogram",5,10,756.689358309459,750.10488248716,0.954021396135365,0.959043184800544
"variogram",1,15,793.550797790029,782.869167828426,1,1
"variogram",2,15,838.972597729622,830.305296122439,1.057238679699,1.06059266381073
"variogram",3,15,866.19298571188,859.064137428052,1.0915406904311,1.09732784573824
"variogram",4,15,839.13556766186,824.210090147746,1.05744404768892,1.05280693635438
"variogram",5,15,754.914403693612,751.011490592946,0.951312009005579,0.959306511809822
"variogram",1,20,793.71176256488,783.27294720387,1,1
"variogram",2,20,838.827807936774,829.524691458247,1.05684185053035,1.05904933193402
"variogram",3,20,870.141251967795,846.582612976916,1.09629375928099,1.08082708077567
"variogram",4,20,838.798148190217,825.197636257036,1.05680448212036,1.05352500581417
"variogram",5,20,13035.5349778453,741.161707165532,16.423512404202,0.946236825631899
