"method","mrts_k","coverage_95","mean_width_95","n"
2,0,0,0.980917052325937,10
2,3,0,0.98114008758846,10
2,5,1,1.20894812024212,10
2,8,1,1.26607069510426,10
2,10,1,1.26260687848347,10
2,12,1,1.28836886474538,10
2,15,1,1.29315916001853,10
2,20,1,1.39512209487969,10
2,25,1,1.37989431688069,10
4,0,0,0.256938423521088,10
4,3,0,0.152951092151912,10
4,5,0,0.147197794875484,10
4,8,0.1,0.218070207468129,10
4,10,0.2,0.358906250037195,10
4,12,0.5,0.539395933058912,10
4,15,0.5,0.595664917145118,10
4,20,0.4,0.630667502562421,10
4,25,0.4,0.630857334143781,10
