"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
1,1,0,"beta.0",10,14.9585204044845,14.6226406500862,1.3251882096121,0.920708286188888
1,1,3,"beta.0",10,15.2515708278465,15.1742933257832,1.21537635467194,0.715358655952447
1,1,5,"beta.0",10,12.8233182142015,12.7492616631915,0.865988723916366,0.561040861110064
1,1,8,"beta.0",10,12.7875116324367,12.6909252292559,0.873833547156464,0.555751113431359
1,1,10,"beta.0",10,12.8633126963828,12.7689205190296,0.882549068182679,0.548061758807669
1,1,12,"beta.0",10,12.7056650936157,12.590301673052,0.87659422686101,0.530256046293712
1,1,15,"beta.0",10,12.7414705301557,12.6421225749114,0.891432358137546,0.533243630193374
1,1,20,"beta.0",10,12.7275671742444,12.6152121639802,0.881563760425951,0.527906733123447
1,1,25,"beta.0",10,12.7156315639231,12.6191970456452,0.876880155685967,0.527203882251391
1,2,0,"beta.0",10,10.2126289703024,10.3478618061516,1.07717134580308,0.952577070839377
1,2,3,"beta.0",10,10.5310613058829,10.6638821040887,1.0793089918517,0.852289742330646
1,2,5,"beta.0",10,6.92416191940207,6.92946900617828,0.296718275968088,0.268318489674503
1,2,8,"beta.0",10,6.85969423313689,6.85688645691383,0.299771807623011,0.266026617757652
1,2,10,"beta.0",10,6.84864734819783,6.83666039317689,0.300875412044569,0.255289266536791
1,2,12,"beta.0",10,6.78086706244017,6.73031781493213,0.301568275793371,0.240501220102687
1,2,15,"beta.0",10,6.77262803952714,6.71968046722874,0.306631278460423,0.243145385496383
1,2,20,"beta.0",10,6.78102277079539,6.73637455689577,0.3045525021704,0.241277172387893
1,2,25,"beta.0",10,6.77465146999347,6.73455511665381,0.309986475550953,0.238952590391112
1,3,0,"beta.0",10,10.4070963975551,10.2374464588517,1.19775012361458,0.777641408637757
1,3,3,"beta.0",10,10.9713762786601,10.776369033271,0.969258207087723,0.519698440700233
1,3,5,"beta.0",10,11.2763005687392,11.1721062245475,0.524961770543562,0.453666608538803
1,3,8,"beta.0",10,11.5877824128677,11.4888185955637,0.476119776112184,0.415880397137565
1,3,10,"beta.0",10,11.5661626031833,11.495014551519,0.44983776931731,0.436178613384779
1,3,12,"beta.0",10,11.3249735769111,11.2691001779254,0.593913175052511,0.421767080383259
1,3,15,"beta.0",10,11.1126965688912,11.1951239107208,0.570360512194156,0.438112168617999
1,3,20,"beta.0",10,10.9855559267576,11.0085374813975,0.397405226558584,0.455753757149521
1,3,25,"beta.0",10,11.0834267817778,10.9656615297257,0.670174412085865,0.459879535401944
1,4,0,"beta.0",10,11.7105559438077,12.2158772148075,0.987524170083275,0.552497416182077
1,4,3,"beta.0",10,12.2035788278369,12.5601379780572,1.13795568254037,0.325590348337352
1,4,5,"beta.0",10,10.8842880223918,10.8387961087449,0.320281208731268,0.308268270619864
1,4,8,"beta.0",10,10.395859196246,10.7600790001802,1.38698510171713,0.286923800655759
1,4,10,"beta.0",10,9.76492950347737,10.7460001216308,1.95908844458659,0.257179142593416
1,4,12,"beta.0",10,8.49798720741802,7.12176534583175,2.0991326932423,0.200884057171853
1,4,15,"beta.0",10,8.05016147517217,7.09036827462934,1.85696156197938,0.191182337228889
1,4,20,"beta.0",10,7.95902837830826,7.08355602660882,1.87764040074235,0.18832557331895
1,4,25,"beta.0",10,8.02225759718091,7.0139679853032,1.93312321352174,0.184572567374653
1,5,0,"beta.0",10,15.1463916634359,13.2816234426281,7.25462149939441,2.39170617838467
1,5,3,"beta.0",10,13.6557907141003,11.5141748211862,6.49386021795778,0.44006228940675
1,5,5,"beta.0",10,15.7065997449294,13.7510676000641,9.14214136334947,0.400321275919331
1,5,8,"beta.0",10,16.6621104244681,13.8888608695362,9.21453014203514,0.38847396812677
1,5,10,"beta.0",10,18.5730320020877,14.6303477187066,9.94886745565664,1.09809339561495
1,5,12,"beta.0",10,15.2204690721559,13.6060192841814,9.26609582941536,0.43438873273399
1,5,15,"beta.0",10,13.7861575129154,13.4075066243085,5.81664383342306,1.85003743886647
1,5,20,"beta.0",10,15.060008160219,13.0264323321367,8.85217161866866,0.858837827603232
1,5,25,"beta.0",10,15.6875167050072,13.2589546290738,8.76795755797236,0.649467800714403
1,1,0,"beta.1",10,-0.664855149410742,-0.66132191482198,0.0220024243793177,0.0832825201397574
1,2,0,"beta.1",10,-0.670460576430985,-0.673873914717025,0.0249871367833741,0.0601408352283236
1,3,0,"beta.1",10,-1.16961423936191,-1.13958021808729,0.156473019986695,0.0803361791049302
1,4,0,"beta.1",10,-0.676346315342578,-0.65050150034259,0.0554271535313726,0.0605245296618819
1,5,0,"beta.1",10,-0.967069756914848,-1.14942465774155,0.487333443647455,0.130081516562135
1,1,0,"beta.2",10,0.628784662834999,0.630671797320357,0.0407752364333986,0.0825273873934114
1,2,0,"beta.2",10,0.635673785472964,0.631691787416123,0.0243595990929556,0.0588014596459891
1,3,0,"beta.2",10,1.10929513640566,1.11097337956158,0.170149629643937,0.0802586996308742
1,4,0,"beta.2",10,0.662304442742478,0.667096765580448,0.0377104574087575,0.0589296851039642
1,5,0,"beta.2",10,0.909372217874219,1.03975401332992,0.431117454173895,0.13285830581263
1,1,0,"tau.alpha",10,0.2,0.2,0,0
1,1,3,"tau.alpha",10,0.2,0.2,0,0
1,1,5,"tau.alpha",10,0.2,0.2,0,0
1,1,8,"tau.alpha",10,0.2,0.2,0,0
1,1,10,"tau.alpha",10,0.2,0.2,0,0
1,1,12,"tau.alpha",10,0.2,0.2,0,0
1,1,15,"tau.alpha",10,0.2,0.2,0,0
1,1,20,"tau.alpha",10,0.2,0.2,0,0
1,1,25,"tau.alpha",10,0.2,0.2,0,0
1,2,0,"tau.alpha",10,1.913971,1.916655,0.0914542761833597,0.338829419480569
1,2,3,"tau.alpha",10,1.910972,1.897585,0.0897353137225747,0.339245946660618
1,2,5,"tau.alpha",10,2.933497,2.86716,0.365010515740452,0.525246995766127
1,2,8,"tau.alpha",10,2.941773,2.861245,0.369895800944897,0.530687914079114
1,2,10,"tau.alpha",10,2.912773,2.825495,0.358418986384805,0.524990006395831
1,2,12,"tau.alpha",10,2.838298,2.740825,0.352917778236738,0.513810799571447
1,2,15,"tau.alpha",10,2.832062,2.7359,0.35427314734381,0.507675333249207
1,2,20,"tau.alpha",10,2.803314,2.72342,0.358317651694074,0.502673893536047
1,2,25,"tau.alpha",10,2.797451,2.722085,0.350816956813347,0.504237462110239
1,3,0,"tau.alpha",10,1.463574,1.49619,0.157348979815215,0.26367214034222
1,3,3,"tau.alpha",10,1.453172,1.47142,0.154890588753625,0.263582777077586
1,3,5,"tau.alpha",10,1.956452,1.90923,0.342785490221898,0.369099736012056
1,3,8,"tau.alpha",10,2.003774,1.88493,0.32882723134058,0.378065166945691
1,3,10,"tau.alpha",10,2.018056,1.95102,0.250009605157704,0.380348512003996
1,3,12,"tau.alpha",10,1.955167,1.866855,0.307750704306442,0.372104397311645
1,3,15,"tau.alpha",10,1.97015,1.97682,0.263166285539095,0.372974183171713
1,3,20,"tau.alpha",10,1.990709,1.960835,0.278469070273323,0.373031377206816
1,3,25,"tau.alpha",10,1.979104,1.915245,0.287696957779459,0.379212151786939
1,4,0,"tau.alpha",10,2.800291,2.77448,0.298122890076857,0.256289371780027
1,4,3,"tau.alpha",10,2.746113,2.7597,0.341904972504544,0.249113179635342
1,4,5,"tau.alpha",10,3.050025,2.92678,0.391820818409243,0.285740285529991
1,4,8,"tau.alpha",10,3.0248,2.89898,0.34820676801132,0.28299468256457
1,4,10,"tau.alpha",10,3.028628,2.937025,0.446200756804976,0.287953730453466
1,4,12,"tau.alpha",10,3.018543,2.95707,0.454747025915386,0.289528254371808
1,4,15,"tau.alpha",10,3.075079,2.92247,0.51508264958052,0.296877800356803
1,4,20,"tau.alpha",10,2.984776,2.90105,0.43703864558844,0.289682811057125
1,4,25,"tau.alpha",10,3.02271,2.992695,0.543535191337435,0.294468573792908
1,5,0,"tau.alpha",10,2.440525,2.893325,1.27704835576462,0.311120419572443
