"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,8,0,0.0332319932395455
"brier",0.91,8,0,0.0303563597790909
"brier",0.92,4,0,0.0264994071836364
"brier",0.93,4,0,0.0242855381759091
"brier",0.94,4,0,0.0209449028181818
"brier",0.95,4,0,0.0181332833654545
"brier",0.96,10,0,0.0146138516886364
"brier",0.97,10,0,0.0108894295477273
"brier",0.98,10,0,0.00731180314909091
"brier",0.99,10,0,0.00392158349181818
"brier",0.995,4,0,0.00201175183545455
"quant",0.9,4,0,1.82058491311704
"quant",0.91,8,0,1.70431184603716
"quant",0.92,8,0,1.58032686079016
"quant",0.93,8,0,1.44817326046554
"quant",0.94,8,0,1.30688861631991
"quant",0.95,8,0,1.15340520150197
"quant",0.96,4,0,0.985363834955249
"quant",0.97,10,0,0.798717451808186
"quant",0.98,4,0,0.586483135183915
"quant",0.99,8,0,0.324923598500432
"quant",0.995,8,0,0.175110387483893
