"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,0,0.028958144145
"brier",0.91,9,0,0.0266766862159091
"brier",0.92,7,0,0.023922631315
"brier",0.93,7,0,0.0209506510118182
"brier",0.94,9,0,0.0179442568109091
"brier",0.95,9,0,0.0142228146145455
"brier",0.96,7,0,0.0114150012627273
"brier",0.97,7,0,0.0101610149163636
"brier",0.98,7,0,0.00847746418681818
"brier",0.99,9,0,0.00547252025318182
"brier",0.995,9,0,0.00323545933636364
"quant",0.9,4,0,1.71894347349605
"quant",0.91,4,0,1.61209392093219
"quant",0.92,4,0,1.49859219729906
"quant",0.93,8,0,1.3764139922427
"quant",0.94,9,0,1.24403764285585
"quant",0.95,7,0,1.09929536971766
"quant",0.96,7,0,0.939187098259383
"quant",0.97,7,0,0.752091670456096
"quant",0.98,7,0,0.537225693882785
"quant",0.99,3,0,0.289333033969811
"quant",0.995,7,0,0.152343467356022
