"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,9,0,0.0294441805104545
"brier",0.91,9,0,0.0273858237440909
"brier",0.92,2,0,0.0256067178609091
"brier",0.93,9,0,0.0229009822313636
"brier",0.94,2,0,0.0203325846309091
"brier",0.95,2,0,0.0174263884054545
"brier",0.96,2,0,0.0135903076009091
"brier",0.97,2,0,0.01099821773
"brier",0.98,2,0,0.00822575668954545
"brier",0.99,2,0,0.00536680428863636
"brier",0.995,7,0,0.00318603517681818
"quant",0.9,7,0,1.69476108971251
"quant",0.91,7,0,1.587071862241
"quant",0.92,7,0,1.47239967860704
"quant",0.93,2,0,1.34928661492667
"quant",0.94,7,0,1.21671729053683
"quant",0.95,2,0,1.07226265788279
"quant",0.96,2,0,0.912181461055988
"quant",0.97,2,0,0.731481642012059
"quant",0.98,2,0,0.527519606634579
"quant",0.99,2,0,0.283720614267972
"quant",0.995,7,0,0.149627543742274
