"score","method","mrts_k","quantile","mean","median"
"brier",1,0,0.9,0.0315023136606061,0.0259744431909091
"brier",1,0,0.91,0.0292532617606061,0.0244640057454545
"brier",1,0,0.92,0.0261610985757576,0.0242750886590909
"brier",1,0,0.93,0.0225192372878788,0.0236976422954545
"brier",1,0,0.94,0.0206738826045455,0.0209026592863636
"brier",1,0,0.95,0.0193560348939394,0.02092304205
"brier",1,0,0.96,0.0158881422439394,0.0184826705
"brier",1,0,0.97,0.0117872558666667,0.0146264489590909
"brier",1,0,0.98,0.00888503545,0.0104478216363636
"brier",1,0,0.99,0.00591041726969697,0.00573340389545455
"brier",1,0,0.995,0.00314936121818182,0.00305686019545455
"brier",2,0,0.9,0.0300379572181818,0.0253848829545455
"brier",2,0,0.91,0.0276987150772727,0.0234754540227273
"brier",2,0,0.92,0.0247235048333333,0.0235755015045455
"brier",2,0,0.93,0.0209254492530303,0.0226639295681818
"brier",2,0,0.94,0.0192513353560606,0.01942316675
"brier",2,0,0.95,0.0180402279181818,0.0193237396863636
"brier",2,0,0.96,0.0148148937257576,0.0171802405863636
"brier",2,0,0.97,0.0112837579424242,0.0141068027
"brier",2,0,0.98,0.00863737519848485,0.0102136677909091
"brier",2,0,0.99,0.00546632537575758,0.00545052955909091
"brier",2,0,0.995,0.00290579567878788,0.00297553088636364
"quant",1,0,0.9,1.46160636277128,1.5517429616769
"quant",1,0,0.91,1.36417770575656,1.43948990084933
"quant",1,0,0.92,1.26002606245911,1.32082458822888
"quant",1,0,0.93,1.14894777164445,1.19643930137848
"quant",1,0,0.94,1.03029849645396,1.06557747543546
"quant",1,0,0.95,0.902273258830196,0.926144608405315
"quant",1,0,0.96,0.764142316813921,0.775366296992771
"quant",1,0,0.97,0.613001762871969,0.613174857482365
"quant",1,0,0.98,0.446313893694234,0.43826617487761
"quant",1,0,0.99,0.247622271104028,0.243422011300686
"quant",1,0,0.995,0.134445881296596,0.13353174803903
"quant",2,0,0.9,1.46097858196888,1.54996594425201
"quant",2,0,0.91,1.36373811362777,1.43785108114292
"quant",2,0,0.92,1.25936796686387,1.31931623744236
"quant",2,0,0.93,1.14745204556001,1.19397762624263
"quant",2,0,0.94,1.02872681469069,1.06325236123409
"quant",2,0,0.95,0.901030887152941,0.924187720663785
"quant",2,0,0.96,0.763527655550422,0.77449318155622
"quant",2,0,0.97,0.61234110667291,0.612327801194249
"quant",2,0,0.98,0.445743092987325,0.438096373897567
"quant",2,0,0.99,0.247077509974348,0.242440312971436
"quant",2,0,0.995,0.13367685209149,0.133946070918791
