"method","mrts_k","coverage_95","mean_width_95","n"
2,0,0,1.00683704109567,10
2,3,0,1.00284327646488,10
2,5,0,0.999615752889348,10
2,8,0,1.00729933768617,10
2,10,0,0.988600592758919,10
2,12,0,0.97681620670692,10
2,15,0,0.997656652735112,10
2,20,0,0.993261056817045,10
2,25,0,0.995590573780236,10
4,0,0,0.123487279904005,10
4,3,0,0.125517961630457,10
4,5,0,0.12598087259725,10
4,8,0,0.128208893635083,10
4,10,0,0.122123178901943,10
4,12,0,0.124149856202903,10
4,15,0,0.122663882515675,10
4,20,0,0.125518902652595,10
4,25,0,0.122968736391747,10
