"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
5,1,10,1,50,1510,TRUE,FALSE,FALSE,4.36675,8.22435037692954,3.5703009212627,12.1260497697311,1.26344605342589,1.16776799760788,1.08193241809504,0.868018140400829,NA,NA,NA,NA,4.01274595729413,4.07997274683184,16.6369323782433,16.6804112040228,TRUE,TRUE,TRUE,TRUE
5,1,10,2,80,1510,TRUE,FALSE,FALSE,4.258755,9.59632929247784,3.88606025684837,12.2322219990716,1.53503439878627,1.29655397013428,1.18393405453634,0.871810142570882,NA,NA,NA,NA,4.61038336694389,4.71981489927195,18.19745816909,18.2238701713111,TRUE,TRUE,TRUE,TRUE
5,1,10,3,110,1510,TRUE,FALSE,FALSE,4.36157,10.4261889777232,4.23492608956205,12.3179299668381,1.59929385522004,1.33553454237751,1.19749344136992,0.994249388595505,NA,NA,NA,NA,5.09851768834186,5.22215400692025,19.0908212391858,19.0918871845605,TRUE,TRUE,TRUE,TRUE
5,1,10,4,140,1510,TRUE,FALSE,FALSE,4.644275,11.3132797274893,3.8198171960291,12.4602919768566,1.54673615749796,1.3350833182647,1.15853155854599,1.06034746765428,NA,NA,NA,NA,4.66879910478454,4.71176259795129,18.3685413489873,18.4126379176741,TRUE,TRUE,TRUE,TRUE
5,1,10,5,170,1510,TRUE,FALSE,FALSE,4.238435,11.2999070347999,4.09873270356546,11.2312863125869,1.55867510238413,1.42419648069744,1.09442420586578,0.947338840463272,NA,NA,NA,NA,5.28733260760858,5.35630294505199,17.619878928962,17.620620877788,TRUE,TRUE,TRUE,TRUE
