"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
5,4,5,1,50,4505,TRUE,FALSE,TRUE,1.94212,11.1768764876995,2.77314380292444,11.7004851194435,2.39059235815011,2.32492300665826,1.02824581773409,0.929983714573961,-0.14815180534547,NA,0.782393484698729,NA,4.7668822232716,8.73898696327608,18.329941502766,18.1759293104056,TRUE,TRUE,TRUE,TRUE
5,4,5,2,80,4505,TRUE,FALSE,TRUE,1.89435,9.11059383898461,2.68993478706576,11.8763512219573,2.27732537337958,2.15546689552587,1.05653460886207,0.944648892724396,-0.108817087391498,NA,0.750527002037423,NA,3.28336966020387,7.33154424472943,18.0022079652785,17.9026854998562,TRUE,TRUE,TRUE,TRUE
5,4,5,3,110,4505,TRUE,FALSE,TRUE,2.167325,9.00335908356537,2.49020673422636,11.0336003077982,2.2586756311801,1.96709676777116,1.14822802222349,1.14415096796625,0.313353955615627,NA,0.77350842474158,NA,4.94704156414755,5.97181087017307,16.6581695749959,16.5826915819785,TRUE,TRUE,TRUE,TRUE
5,4,5,4,140,4505,TRUE,FALSE,TRUE,2.49186,9.44678601339714,2.66796967091193,11.1404534731719,2.09236131205319,1.84078840994662,1.13666584423674,1.07137286307894,0.417608649813148,NA,0.776980808060579,NA,5.43750455741645,5.43750455741645,16.7228099943193,16.5949072318879,TRUE,TRUE,TRUE,TRUE
5,4,5,5,170,4505,TRUE,FALSE,TRUE,2.644485,10.1386180959216,2.9122388785177,11.2119669391838,1.98509982056398,1.82956586792092,1.08501139826127,1.01281322956189,0.378581734044783,NA,0.698356104705808,NA,4.37512697377718,5.56632801204651,16.9930518143688,16.8890992305832,TRUE,TRUE,TRUE,TRUE
