"setting","method","dataset","block","param","mean","sd","q025","q50","q975"
7,1,9,1,"beta0",10.4936865516077,0.15155365499728,10.1879964512795,10.4969895534627,10.7876005414898
7,1,9,1,"beta1",0.0209490871964126,0.0134368080265942,-0.00539568934039564,0.020849008521527,0.0471388394129858
7,1,9,1,"beta2",-0.000307384668822718,0.0131840802406938,-0.0260186839431439,-0.00016706014088411,0.025496445797599
7,1,9,1,"lambda",0.832294035891327,0.114241971451213,0.634058572244244,0.823592145480454,1.07606316888311
7,1,9,1,"rho",1.15485775204216,0.121052960776422,0.930832904365964,1.14894367430025,1.39839391100198
7,1,9,1,"nu",0.443323840927579,0.0587705623419881,0.348337135835026,0.435626221909913,0.565196196095781
7,1,9,1,"gamma",0.929990735076286,0.0318461939083748,0.87255226771028,0.928996568851525,0.993826214351684
7,1,9,1,"tau.alpha",4.312505,0.506699170494622,3.15,4.4,5
7,1,9,1,"tau.beta",9.70011850803461,1.33549139320755,6.85455685553459,9.80592380088899,12.0047136145142
7,1,9,1,"phi.z1",NA,NA,NA,NA,NA
7,1,9,1,"phi.z2",NA,NA,NA,NA,NA
7,1,9,1,"phi.tau1",NA,NA,NA,NA,NA
7,1,9,1,"phi.tau2",NA,NA,NA,NA,NA
7,1,9,1,"phi.w1",NA,NA,NA,NA,NA
7,1,9,1,"phi.w2",NA,NA,NA,NA,NA
7,1,9,2,"beta0",10.4614346488827,0.12766154855737,10.2026347197419,10.4644072228454,10.7021845649057
7,1,9,2,"beta1",0.0197757173431276,0.0103607935954236,-0.000451396941922869,0.0196590392222308,0.0403439307304693
7,1,9,2,"beta2",-0.00116648367338281,0.0101571826448911,-0.020844736269298,-0.00129573425165609,0.0188218983911604
7,1,9,2,"lambda",1.36966207938165,0.120192719571317,1.15848051466098,1.36136476964772,1.6270366627403
7,1,9,2,"rho",1.03311085408963,0.0941165872151784,0.858657266039752,1.03354878981491,1.22110063052061
7,1,9,2,"nu",0.510173824315663,0.0639139450637465,0.407478829794696,0.50189913517632,0.659527043456193
7,1,9,2,"gamma",0.896955996908489,0.026799141373729,0.842792089198748,0.897959679559956,0.949002393966257
7,1,9,2,"tau.alpha",4.6631,0.30653186812894,3.85,4.75,5
7,1,9,2,"tau.beta",10.640254674131,0.911427588642847,8.62644457514506,10.692797083392,12.2840472740265
7,1,9,2,"phi.z1",NA,NA,NA,NA,NA
7,1,9,2,"phi.z2",NA,NA,NA,NA,NA
7,1,9,2,"phi.tau1",NA,NA,NA,NA,NA
7,1,9,2,"phi.tau2",NA,NA,NA,NA,NA
7,1,9,2,"phi.w1",NA,NA,NA,NA,NA
7,1,9,2,"phi.w2",NA,NA,NA,NA,NA
7,1,9,3,"beta0",10.4896677786867,0.11325988625187,10.2601056043651,10.4914194866717,10.7086944749843
7,1,9,3,"beta1",0.0164739943962391,0.00905049885072728,-0.00139601259328368,0.0166614427708154,0.0342886251261766
7,1,9,3,"beta2",0.00664869979330417,0.00899236978844992,-0.011053939806895,0.00672419332128964,0.0240042010832233
7,1,9,3,"lambda",1.51387616669434,0.1174293004005,1.30177180211821,1.50650023600189,1.76071153072378
7,1,9,3,"rho",0.999321009863275,0.097201440179083,0.864392916338256,0.981421584154201,1.26028522243483
7,1,9,3,"nu",0.542892041267038,0.0654542185049359,0.382157204379397,0.548003586673883,0.654767586460343
7,1,9,3,"gamma",0.885345465902538,0.0276101027635842,0.845333327499867,0.880976771136485,0.966294802317917
7,1,9,3,"tau.alpha",4.76528,0.226520755705248,4.2,4.85,5
7,1,9,3,"tau.beta",11.5660143479876,0.77502432583353,9.86376217655875,11.6126425664265,12.9567766575462
7,1,9,3,"phi.z1",NA,NA,NA,NA,NA
7,1,9,3,"phi.z2",NA,NA,NA,NA,NA
7,1,9,3,"phi.tau1",NA,NA,NA,NA,NA
7,1,9,3,"phi.tau2",NA,NA,NA,NA,NA
7,1,9,3,"phi.w1",NA,NA,NA,NA,NA
7,1,9,3,"phi.w2",NA,NA,NA,NA,NA
7,1,9,4,"beta0",10.536307882191,0.104585019837308,10.3247392053375,10.53902904514,10.7347408041877
7,1,9,4,"beta1",0.0134626459729101,0.00804637118479071,-0.00246276272808541,0.0135135476060444,0.0292505063807232
7,1,9,4,"beta2",0.00970280222252374,0.00793709264588181,-0.00578925622831874,0.00968539426638188,0.0252675035555886
7,1,9,4,"lambda",1.65316205809122,0.111591031526006,1.445395267426,1.64846410593363,1.88354228404684
7,1,9,4,"rho",1.04856855590747,0.0673894076413928,0.904025320368118,1.04925955524164,1.18407001099332
7,1,9,4,"nu",0.503800934810091,0.0455503509428206,0.422820064723777,0.50077812311222,0.614618771861736
7,1,9,4,"gamma",0.898910993911751,0.0200005849470917,0.85732888916832,0.898705130807902,0.938317132956374
7,1,9,4,"tau.alpha",4.805625,0.193386527994897,4.3,4.85,5
7,1,9,4,"tau.beta",11.786821037304,0.694404983495175,10.257275823316,11.8371786626027,13.031511738887
7,1,9,4,"phi.z1",NA,NA,NA,NA,NA
7,1,9,4,"phi.z2",NA,NA,NA,NA,NA
7,1,9,4,"phi.tau1",NA,NA,NA,NA,NA
7,1,9,4,"phi.tau2",NA,NA,NA,NA,NA
7,1,9,4,"phi.w1",NA,NA,NA,NA,NA
7,1,9,4,"phi.w2",NA,NA,NA,NA,NA
7,1,9,5,"beta0",10.5967243348963,0.100246375337577,10.3990653786797,10.5967039807881,10.7908586978369
7,1,9,5,"beta1",0.0106439937520188,0.00731260053101082,-0.00353205217553211,0.0106607138293925,0.0250134749381382
7,1,9,5,"beta2",0.00721336304200981,0.00739363812784414,-0.00714415033227009,0.00713530050400862,0.0217950901480236
7,1,9,5,"lambda",1.74473899478287,0.105672694954702,1.55531307156123,1.73916861854377,1.9725237667305
7,1,9,5,"rho",1.06754200417398,0.083014144250993,0.922106495079696,1.06628015469689,1.24051568508577
7,1,9,5,"nu",0.478330681994913,0.0507657831210407,0.383469657573914,0.475010125964272,0.574287062261739
