"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
5,2,6,1,50,2506,TRUE,TRUE,FALSE,4.160935,8.90884751788195,2.91951797023082,10.3608321648257,1.17330036626954,1.26362054737321,0.928522703044496,0.974512811242556,0.184635047814988,0.660052214539603,0.307433494670958,0.606879504862256,3.3894111439885,4.11720827790055,13.786303668628,13.6055956981759,TRUE,TRUE,TRUE,TRUE
5,2,6,2,80,2506,TRUE,TRUE,FALSE,3.2098,8.28894159738955,3.47711575228534,10.1728714826116,1.12660576693364,1.45136262047758,0.776240031979693,0.764883976071976,0.208765010467275,0.699497329561029,0.321067441755539,0.620311175224766,1.98448383713787,3.58051396191087,14.090210141432,13.7276043109419,TRUE,TRUE,TRUE,TRUE
5,2,6,3,110,2506,TRUE,TRUE,FALSE,2.845575,8.60299477744133,1.79134743150767,10.5206241806136,1.97433486674103,1.59541923787051,1.23750223131086,1.21240593140745,0.198571445426774,0.645517640297882,0.193832844905134,0.750589398891923,2.01309798566253,2.8119209182963,14.0573438730862,13.9458065074651,TRUE,TRUE,TRUE,TRUE
5,2,6,4,140,2506,TRUE,TRUE,FALSE,3.36422,9.86315278404979,2.07584347271119,10.6474722234038,1.47809803586338,1.53874150986587,0.96058891398349,1.03091047685777,0.204731192956056,0.66992275388894,0.209030155766296,0.730819393136964,2.06227006463919,2.88278556522233,13.7157723831781,13.6004843755329,TRUE,TRUE,TRUE,TRUE
5,2,6,5,170,2506,TRUE,TRUE,FALSE,2.219975,4.79988758106209,2.66948149575087,10.5402792291066,1.26530327750178,1.40943107591225,0.89774044231487,0.838457649672197,0.263686995093934,0.65063038991541,0.209639240621333,0.758191331006867,1.53962478411035,2.56713832914784,13.9179829149105,13.8103827712451,TRUE,TRUE,TRUE,TRUE
