"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,1,1,1,50,1701,TRUE,FALSE,FALSE,4.3765,11.8129914159872,0.807803428080377,9.72671959227944,1.42522905003067,1.39364987221196,1.02265933391762,1.04529774240832,NA,NA,NA,NA,2.12454238564884,2.14045558585194,10.878024504694,11.1123945408742,TRUE,TRUE,FALSE,TRUE
7,1,1,2,80,1701,TRUE,FALSE,FALSE,4.60044,12.7638043516206,1.1243646090448,9.92079393452477,1.46006759233343,1.40976250253529,1.03568337908526,1.0417132825382,NA,NA,NA,NA,2.30070870943363,2.34976686568148,11.5624422621577,11.6939338506542,TRUE,TRUE,FALSE,TRUE
7,1,1,3,110,1701,TRUE,FALSE,FALSE,4.719495,13.4501474149931,1.27065584599061,10.0295260071907,1.5256266658868,1.42739397748384,1.06881960408444,1.09929478647091,NA,NA,NA,NA,2.45600478826596,2.47300798891938,11.968072448999,12.0520319921844,TRUE,TRUE,TRUE,TRUE
7,1,1,4,140,1701,TRUE,FALSE,FALSE,4.81565,13.461154283357,1.61385498789758,10.0331947947204,1.45805841610829,1.40656976240461,1.03660583006964,1.03026688672439,NA,NA,NA,NA,2.70866049577422,2.73986804855656,12.3862896422028,12.4753459692636,TRUE,TRUE,TRUE,TRUE
7,1,1,5,170,1701,TRUE,FALSE,FALSE,4.84993,13.4784703030634,1.87111742823504,10.0523696605329,1.39593054350592,1.40345773161538,0.994636683428436,1.01584402222059,NA,NA,NA,NA,2.94043810261658,2.95249945835896,12.6643196290924,12.7577991854359,TRUE,TRUE,TRUE,TRUE
7,1,2,1,50,1702,TRUE,FALSE,FALSE,3.57862,13.8937999084848,1.18223732093802,10.3239169488236,1.71018446286103,1.7217648275613,0.993274130987639,1.0231641842004,NA,NA,NA,NA,2.97895219023641,3.03017120448825,12.3457608465063,12.070670771313,TRUE,TRUE,FALSE,TRUE
7,1,2,2,80,1702,TRUE,FALSE,FALSE,4.25624,16.9964924297711,1.09328760598046,10.0087254043958,1.67045493809527,1.71843699057995,0.972078084475774,1.01487752502442,NA,NA,NA,NA,2.84836475246848,2.84836475246848,11.8350130845642,11.7628139565778,TRUE,TRUE,FALSE,TRUE
7,1,2,3,110,1702,TRUE,FALSE,FALSE,4.599055,18.0841536850709,1.09195770694009,9.87235894463654,1.6208632009271,1.68798222286533,0.960237127483311,1.04193225622361,NA,NA,NA,NA,2.72946146147087,2.75083572690623,11.6422730087845,11.5255132477851,TRUE,TRUE,FALSE,TRUE
7,1,2,4,140,1702,TRUE,FALSE,FALSE,4.725615,17.7591563617253,0.994055401657279,9.80376967995283,1.56523827856382,1.64481251541173,0.951621089879659,1.08824814719227,NA,NA,NA,NA,2.60240705500285,2.61160479854784,11.3597032456399,11.3369402118085,TRUE,TRUE,FALSE,TRUE
7,1,2,5,170,1702,TRUE,FALSE,FALSE,4.782735,17.9220688137694,1.05987702103481,9.8183164207098,1.59863604078407,1.64191648420528,0.97364028935847,1.08012941494797,NA,NA,NA,NA,2.62174401176728,2.6542176643167,11.5126740253349,11.4956616270273,TRUE,TRUE,FALSE,TRUE
