"setting","method","dataset","block","param","mean","sd","q025","q50","q975"
7,4,1,1,"beta0",9.6702447989985,0.191375327858957,9.27203505743848,9.68075832879464,10.0229796637072
7,4,1,1,"beta1",0.0186359026542763,0.0142117344832728,-0.00901807372804566,0.0186099874114245,0.0466163613081665
7,4,1,1,"beta2",0.040488030405693,0.0138669517825528,0.0137013463439485,0.0404014940710158,0.0673344668877699
7,4,1,1,"lambda",0.935997850394769,0.198601280021271,0.652131276314694,0.900659959273089,1.45273782392098
7,4,1,1,"rho",1.09766098722609,0.109217022437136,0.888387412260105,1.09045612346298,1.32485812592298
7,4,1,1,"nu",0.41094654908737,0.0459567740745768,0.343006486742572,0.402435077486934,0.521260724665358
7,4,1,1,"gamma",0.958713932103071,0.0275086955915059,0.900616104889225,0.963113602273637,0.997796047385639
7,4,1,1,"tau.alpha",4.43851,0.452244881058088,3.35,4.55,5
7,4,1,1,"tau.beta",11.9051557533412,1.49026263569729,8.65827581314889,12.0273796190584,14.5052361993097
7,4,1,1,"phi.z1",0.548912355699749,0.13360723381017,0.255798153821654,0.560223300637537,0.785623018953705
7,4,1,1,"phi.z2",NA,NA,NA,NA,NA
7,4,1,1,"phi.tau1",0.476590368152847,0.260041831081146,-0.257098122558769,0.542364135606447,0.784221478278405
7,4,1,1,"phi.tau2",NA,NA,NA,NA,NA
7,4,1,1,"phi.w1",0,0,0,0,0
7,4,1,1,"phi.w2",NA,NA,NA,NA,NA
7,4,1,2,"beta0",9.84545502649881,0.176013964388352,9.47568983839492,9.85678238150927,10.1706116463997
7,4,1,2,"beta1",0.0125531147180796,0.0114456966740516,-0.00997549969574725,0.0126389227366717,0.0349659361630948
7,4,1,2,"beta2",0.0183417054989112,0.0113953753042781,-0.00414843589584674,0.0184636788852779,0.0403157805992106
7,4,1,2,"lambda",1.22583490812857,0.153095052283409,0.957638887372409,1.21380081802531,1.55717624070527
7,4,1,2,"rho",1.14503970158703,0.0920554488290198,0.984258225894024,1.14183415870746,1.33944222951363
7,4,1,2,"nu",0.417024886970503,0.0420395737405654,0.349659438280357,0.4137255347679,0.50389360226848
7,4,1,2,"gamma",0.951636698560905,0.0264659584831722,0.901216789077368,0.952935693242887,0.994961238210862
7,4,1,2,"tau.alpha",4.634085,0.320061254599287,3.85,4.7,5
7,4,1,2,"tau.beta",12.8148329790974,1.13820046877505,10.3759489383,12.9015620965694,14.8297953310847
7,4,1,2,"phi.z1",0.564016498306651,0.0960840498937922,0.360760081051614,0.568749523409126,0.735468286888241
7,4,1,2,"phi.z2",NA,NA,NA,NA,NA
7,4,1,2,"phi.tau1",0.608982927618159,0.104865007566329,0.358814969415942,0.625372999660404,0.764968413405903
7,4,1,2,"phi.tau2",NA,NA,NA,NA,NA
