"setting","method","dataset","block","param","mean","sd","q025","q50","q975"
7,4,10,1,"beta0",11.6262201346022,0.510311108488474,10.4021913842128,11.6807516203356,12.4667310296198
7,4,10,1,"beta1",-0.0170685330079358,0.0171147184820486,-0.0501609889809414,-0.0169156369839233,0.0165879783768246
7,4,10,1,"beta2",0.0179194928033323,0.0170099163555544,-0.0152545748224422,0.0179193355867353,0.0517373867295604
7,4,10,1,"lambda",3.00699556175897,0.629931096680061,2.21686613308474,2.85633727039649,4.68186945381597
7,4,10,1,"rho",0.887379225576297,0.0905259017458917,0.73934904076071,0.877472442377289,1.09234282312258
7,4,10,1,"nu",0.575990266094285,0.0848591392115039,0.418311320640371,0.574939731505129,0.744357359912056
7,4,10,1,"gamma",0.86866439524885,0.0319340210948043,0.815239372109332,0.8661561671941,0.937115695733493
7,4,10,1,"tau.alpha",2.684775,0.499167673444126,1.8,2.65,3.8
7,4,10,1,"tau.beta",11.2666835069491,2.31214273560548,7.20577377693253,11.0903172610144,16.3475102946267
7,4,10,1,"phi.z1",0.604523259501475,0.130128798944184,0.329633523265297,0.615662088778297,0.833651110029869
7,4,10,1,"phi.z2",NA,NA,NA,NA,NA
7,4,10,1,"phi.tau1",0.731682238626816,0.0862396742337162,0.526373172105768,0.744960481085524,0.866076704425517
7,4,10,1,"phi.tau2",NA,NA,NA,NA,NA
7,4,10,1,"phi.w1",0,0,0,0,0
7,4,10,1,"phi.w2",NA,NA,NA,NA,NA
7,4,10,2,"beta0",11.3383506753656,0.5456052252894,10.1040083320758,11.374074868288,12.242288923596
7,4,10,2,"beta1",-0.0261792310359855,0.0132865465506044,-0.051974848162828,-0.0262537588058523,0.000303704113873325
7,4,10,2,"beta2",0.017859719529235,0.0129656332874739,-0.0078920662516033,0.018028786503532,0.0428611092383289
7,4,10,2,"lambda",2.75587589371992,0.466463296128519,2.10630586120463,2.66652530881077,3.83386030358928
7,4,10,2,"rho",0.927285833831024,0.0910368892294471,0.746047534116683,0.928404408496228,1.10243173854765
7,4,10,2,"nu",0.544460958227383,0.0746250263104227,0.422805190248285,0.533454706834519,0.722685603844257
7,4,10,2,"gamma",0.887046412728936,0.0282324591438639,0.83513487173741,0.88640332565152,0.94476024433238
7,4,10,2,"tau.alpha",3.47425,0.513316945881093,2.55,3.45,4.55
7,4,10,2,"tau.beta",13.7902147534281,2.19223150515072,9.79951199284854,13.705628730709,18.3838118958647
7,4,10,2,"phi.z1",0.701826217919241,0.0868227724175079,0.503385767803681,0.7126401940742,0.844821785292
7,4,10,2,"phi.z2",NA,NA,NA,NA,NA
7,4,10,2,"phi.tau1",0.687350596739581,0.0764586391405345,0.511142162116017,0.695343882954881,0.814734687606711
7,4,10,2,"phi.tau2",NA,NA,NA,NA,NA
7,4,10,2,"phi.w1",0,0,0,0,0
7,4,10,2,"phi.w2",NA,NA,NA,NA,NA
7,4,10,3,"beta0",11.5780584092983,0.458680381604355,10.5601032487781,11.6372539040865,12.3379115875943
7,4,10,3,"beta1",-0.016217357896387,0.011292013472041,-0.0382209967710451,-0.0163915721604945,0.00613356971379712
7,4,10,3,"beta2",0.00813012244224652,0.0110918163211624,-0.0132102318748028,0.00819894389940659,0.0299465883966097
7,4,10,3,"lambda",2.97724575700856,0.287892689815473,2.46261197850806,2.95922676800029,3.58049631105138
7,4,10,3,"rho",0.909752262297747,0.0641990650684997,0.769570329613711,0.914215230281545,1.02610096826793
7,4,10,3,"nu",0.569796434515287,0.0620613666349027,0.47998487871732,0.559523407856231,0.721317293919674
7,4,10,3,"gamma",0.883661382283645,0.02138132897601,0.840210819929309,0.884233418054055,0.922547907808295
7,4,10,3,"tau.alpha",3.944965,0.478582075359374,3,3.95,4.85
7,4,10,3,"tau.beta",15.9299603928413,2.09988776999346,11.8339062976414,15.9538728798364,19.9166406660904
7,4,10,3,"phi.z1",0.713544764088997,0.0730340972192386,0.560648675440235,0.718320257347971,0.83948646969865
7,4,10,3,"phi.z2",NA,NA,NA,NA,NA
7,4,10,3,"phi.tau1",0.700704969464634,0.0617265476394116,0.569482182698696,0.706492998866111,0.810057792864003
7,4,10,3,"phi.tau2",NA,NA,NA,NA,NA
7,4,10,3,"phi.w1",0,0,0,0,0
7,4,10,3,"phi.w2",NA,NA,NA,NA,NA
7,4,10,4,"beta0",10.8115284205417,0.876135030648504,8.5816628316535,10.9420436573145,12.0812627137317
7,4,10,4,"beta1",-0.0143027486904834,0.0099214723526033,-0.0336226321807746,-0.0143166337636304,0.00524166086928148
7,4,10,4,"beta2",0.0034649915332149,0.009918297410839,-0.016014627157101,0.00352104635364171,0.0229296510464458
7,4,10,4,"lambda",6.06443916180406,1.44492031048333,4.12892850494581,5.78098261703082,8.86648508593199
7,4,10,4,"rho",0.905884074369648,0.0630254285838411,0.787891297429221,0.905231143227134,1.04546075794034
7,4,10,4,"nu",0.554724455235927,0.058000036797303,0.439864335617364,0.551366594650145,0.67998206633168
7,4,10,4,"gamma",0.88748329860998,0.0221345219964399,0.847788154682533,0.885806985395763,0.937584821001663
7,4,10,4,"tau.alpha",4.001515,0.423578087977484,3.2,4,4.85
7,4,10,4,"tau.beta",16.2687925307119,1.84852875264707,12.7568589879687,16.2218402854398,19.947235871309
7,4,10,4,"phi.z1",0.889386882564995,0.0456877480054924,0.789364649123799,0.897998406082362,0.953163522300577
7,4,10,4,"phi.z2",NA,NA,NA,NA,NA
7,4,10,4,"phi.tau1",0.670914452218323,0.0579879798788097,0.5447756715188,0.675418713701988,0.773579205453198
7,4,10,4,"phi.tau2",NA,NA,NA,NA,NA
7,4,10,4,"phi.w1",0,0,0,0,0
7,4,10,4,"phi.w2",NA,NA,NA,NA,NA
7,4,10,5,"beta0",11.5468350899941,0.482961263592567,10.5123554206437,11.6085149715049,12.322570923307
7,4,10,5,"beta1",-0.0137890639053366,0.00952084627360759,-0.0324822517278549,-0.0136444921618008,0.005061872486576
7,4,10,5,"beta2",0.0029905815720934,0.00956610404415464,-0.0157970093471042,0.00304528851107865,0.0217418302606077
7,4,10,5,"lambda",2.93646707268596,0.405298976497412,2.47531943182924,2.80552672826134,4.06459491762154
7,4,10,5,"rho",0.915697032029355,0.0556289108747606,0.806466264950043,0.913440740557699,1.02597111593174
7,4,10,5,"nu",0.577486328482836,0.0509669765051335,0.48103678043808,0.575477401845419,0.688177684743864
7,4,10,5,"gamma",0.87691830782599,0.017477804886632,0.843821987755803,0.875986483740493,0.914287275415137
7,4,10,5,"tau.alpha",3.82682,0.398943734391607,3.1,3.8,4.65
7,4,10,5,"tau.beta",16.9308829417832,1.89698291041942,13.4569199011755,16.8565067976064,20.7390383971514
7,4,10,5,"phi.z1",0.753399115265707,0.0562951109420122,0.639563645439208,0.755823464163083,0.858714248495214
7,4,10,5,"phi.z2",NA,NA,NA,NA,NA
7,4,10,5,"phi.tau1",0.681030415802124,0.0504314678486044,0.571917041551239,0.683337427393783,0.772875707882808
7,4,10,5,"phi.tau2",NA,NA,NA,NA,NA
7,4,10,5,"phi.w1",0,0,0,0,0
7,4,10,5,"phi.w2",NA,NA,NA,NA,NA
