"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,1,3,1,50,1703,TRUE,FALSE,FALSE,2.839185,14.428220622541,4.30612171738772,11.1053965496707,2.27910732998548,2.02807161222496,1.12378049978477,0.797383352302108,NA,NA,NA,NA,8.94015135203583,9.01766038658539,20.9195101195787,21.1545219699921,TRUE,TRUE,TRUE,TRUE
7,1,3,2,80,1703,TRUE,FALSE,FALSE,3.50269,16.3048392664664,3.57583727782372,11.1302643316241,2.28944608976643,1.90628931918377,1.20099612725456,0.972366316537543,NA,NA,NA,NA,6.4644821962926,6.67936611216872,19.3169510049786,19.4517511657762,TRUE,TRUE,TRUE,TRUE
7,1,3,3,110,1703,TRUE,FALSE,FALSE,3.940405,18.8390870242762,3.2506803490157,11.3407953441092,2.21223121507203,1.91227203303984,1.15686009984436,0.982185656331794,NA,NA,NA,NA,5.95851282843437,6.01392436149857,18.532051882423,18.6632140610427,TRUE,TRUE,TRUE,TRUE
7,1,3,4,140,1703,TRUE,FALSE,FALSE,4.21458,20.5540465037639,3.1566819882348,11.2668426419675,2.18231018400802,1.91801399495153,1.13779679905994,0.960750600231336,NA,NA,NA,NA,5.72384949745175,5.91189043244764,18.155701892567,18.2073221402651,TRUE,TRUE,TRUE,TRUE
7,1,3,5,170,1703,TRUE,FALSE,FALSE,4.326465,21.0258968124137,3.2151565870191,11.4132726300895,2.20360517108327,1.9126598085908,1.15211558332835,0.900411432694855,NA,NA,NA,NA,5.69962463936129,5.85326994108892,18.4982083110872,18.5101955738565,TRUE,TRUE,TRUE,TRUE
