"setting","method","dataset","block","param","mean","sd","q025","q50","q975"
7,1,10,1,"beta0",12.0305039853329,0.298583748034674,11.371207367301,12.0519269530068,12.5617839935415
7,1,10,1,"beta1",-0.0163841115563986,0.0169134690379947,-0.0495262319922581,-0.0164034065423392,0.0169759601402522
7,1,10,1,"beta2",0.0178404152257554,0.0168451755022635,-0.0147919083059248,0.0177720323478902,0.0509355742082263
7,1,10,1,"lambda",2.99785544337022,0.346427469033459,2.43392372788054,2.95560729949151,3.76926818798504
7,1,10,1,"rho",0.867043181907987,0.103650202174641,0.700315863290784,0.85655907089621,1.09979250865546
7,1,10,1,"nu",0.595364762954558,0.100529767137401,0.414035587182893,0.588771160827295,0.797902268576786
7,1,10,1,"gamma",0.862432623816198,0.0346282103343895,0.805850717021722,0.858933938011594,0.93895856995548
7,1,10,1,"tau.alpha",2.66681,0.49868105255686,1.8,2.65,3.75
7,1,10,1,"tau.beta",11.0873461180885,2.27915072287456,7.14587173752034,10.9060084660745,15.9695011748024
7,1,10,1,"phi.z1",NA,NA,NA,NA,NA
7,1,10,1,"phi.z2",NA,NA,NA,NA,NA
7,1,10,1,"phi.tau1",NA,NA,NA,NA,NA
7,1,10,1,"phi.tau2",NA,NA,NA,NA,NA
7,1,10,1,"phi.w1",NA,NA,NA,NA,NA
7,1,10,1,"phi.w2",NA,NA,NA,NA,NA
7,1,10,2,"beta0",12.0270120979848,0.239240149631954,11.5324126746668,12.0358577774646,12.4727318331254
7,1,10,2,"beta1",-0.0249418150928333,0.0130080611023367,-0.0501361649227023,-0.0248568536859622,0.000757374299198978
7,1,10,2,"beta2",0.0175601996612991,0.0129655843752345,-0.00832154750442581,0.0176995520154429,0.0423504316733572
7,1,10,2,"lambda",2.91986704645689,0.241710535425748,2.46586887983552,2.92062958750939,3.39131788604989
7,1,10,2,"rho",0.93081653072571,0.0912248138398223,0.780590725348487,0.924035458503627,1.13597361569027
7,1,10,2,"nu",0.536661996126184,0.0711730767030441,0.403048763293783,0.534355341844051,0.677017694239403
7,1,10,2,"gamma",0.887859656390485,0.0289723730884478,0.838368638952156,0.885778322404632,0.954878695104256
7,1,10,2,"tau.alpha",3.40948,0.508937649769729,2.5,3.4,4.5
7,1,10,2,"tau.beta",13.3750809449146,2.15375641165677,9.48138118468642,13.2538688961566,17.8675390874775
7,1,10,2,"phi.z1",NA,NA,NA,NA,NA
7,1,10,2,"phi.z2",NA,NA,NA,NA,NA
7,1,10,2,"phi.tau1",NA,NA,NA,NA,NA
7,1,10,2,"phi.tau2",NA,NA,NA,NA,NA
7,1,10,2,"phi.w1",NA,NA,NA,NA,NA
7,1,10,2,"phi.w2",NA,NA,NA,NA,NA
7,1,10,3,"beta0",12.2376217378763,0.215337196781855,11.7969767834988,12.2442949936029,12.6354151582681
7,1,10,3,"beta1",-0.015344039046147,0.0113768670623275,-0.0374745768382143,-0.0153232955999821,0.00666803003297428
7,1,10,3,"beta2",0.00821569885625934,0.0112511041556876,-0.0138475292296832,0.00813172910202516,0.0307745990009348
7,1,10,3,"lambda",2.7898040265693,0.194684959904856,2.43186664575978,2.78326420809136,3.18664334675137
7,1,10,3,"rho",0.957836800481623,0.0891113798970547,0.789653643002042,0.954677621727344,1.14385153943019
7,1,10,3,"nu",0.537319126484879,0.0706792097292527,0.413202549686775,0.534076645490855,0.691249343899123
7,1,10,3,"gamma",0.894262247557314,0.027391258884921,0.844106957283443,0.89257917011217,0.953861117566276
7,1,10,3,"tau.alpha",3.91471,0.486906894315919,3,3.9,4.85
7,1,10,3,"tau.beta",15.7977064966507,2.13108237256375,11.7941062510968,15.7408124660671,19.9447099441901
7,1,10,3,"phi.z1",NA,NA,NA,NA,NA
7,1,10,3,"phi.z2",NA,NA,NA,NA,NA
7,1,10,3,"phi.tau1",NA,NA,NA,NA,NA
7,1,10,3,"phi.tau2",NA,NA,NA,NA,NA
7,1,10,3,"phi.w1",NA,NA,NA,NA,NA
7,1,10,3,"phi.w2",NA,NA,NA,NA,NA
7,1,10,4,"beta0",12.3088953898485,0.207728163153273,11.8742626978549,12.3181967659355,12.6918776245041
7,1,10,4,"beta1",-0.0139526716413625,0.0101921698746863,-0.0339459069422272,-0.0139050883997071,0.0060339908781819
7,1,10,4,"beta2",0.0035269841724923,0.0100693188894502,-0.0164039953348532,0.00359548176428405,0.0231713771412249
7,1,10,4,"lambda",3.19112876417763,0.208388820426722,2.77111109987876,3.197440292521,3.60490764949013
7,1,10,4,"rho",0.969011969130413,0.0637331280971925,0.851355806362414,0.96572890575003,1.09644199880408
7,1,10,4,"nu",0.516577246538225,0.0474115436320923,0.434899877376472,0.515889446096196,0.609438221499093
7,1,10,4,"gamma",0.900577389628088,0.0206846223862506,0.863850138336155,0.899229696047182,0.941769381363029
7,1,10,4,"tau.alpha",3.896875,0.433051657136623,3.1,3.9,4.8
7,1,10,4,"tau.beta",16.0224005980396,1.93675923606561,12.4369547752577,15.9584921424558,19.9257373950521
7,1,10,4,"phi.z1",NA,NA,NA,NA,NA
7,1,10,4,"phi.z2",NA,NA,NA,NA,NA
7,1,10,4,"phi.tau1",NA,NA,NA,NA,NA
7,1,10,4,"phi.tau2",NA,NA,NA,NA,NA
7,1,10,4,"phi.w1",NA,NA,NA,NA,NA
7,1,10,4,"phi.w2",NA,NA,NA,NA,NA
7,1,10,5,"beta0",12.4217767609404,0.186632787542722,12.0514928676198,12.4227683996408,12.7811790110753
7,1,10,5,"beta1",-0.0130526372305691,0.00960171475258457,-0.0318958091726868,-0.0130787085140633,0.00584193712766252
7,1,10,5,"beta2",0.00326869145957648,0.00947457892847118,-0.0153711307072226,0.00341504789669637,0.0213677492321275
7,1,10,5,"lambda",2.99028368793534,0.17991035258372,2.6352989160471,2.99466652272406,3.34651745081618
7,1,10,5,"rho",0.904854332732887,0.0575638945361036,0.787447693535159,0.901332246175613,1.02611814659797
7,1,10,5,"nu",0.591194580450963,0.052783760363881,0.494287726408954,0.592059992886813,0.714695148177586
7,1,10,5,"gamma",0.870835490687062,0.0168454121530783,0.839022674542299,0.869639822487455,0.907937877204921
7,1,10,5,"tau.alpha",3.74494,0.388870181939732,3.05,3.7,4.55
7,1,10,5,"tau.beta",16.4617673261383,1.85039590095373,13.0795921819844,16.3621727435664,20.2918842522641
7,1,10,5,"phi.z1",NA,NA,NA,NA,NA
7,1,10,5,"phi.z2",NA,NA,NA,NA,NA
7,1,10,5,"phi.tau1",NA,NA,NA,NA,NA
7,1,10,5,"phi.tau2",NA,NA,NA,NA,NA
7,1,10,5,"phi.w1",NA,NA,NA,NA,NA
7,1,10,5,"phi.w2",NA,NA,NA,NA,NA
