"method_id","method_key","label","runner","method","skew","thresh_all","thresh_quant","nknots","use_exponential_fallback","temporaltau","temporalz","temporalw","ar2_tau","ar2_z","ar2_w","mrts_k","output_tag","plan_id"
4,"4+mrts10","Skew-t, K=5 + MRTS(10)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"mrts10",28
4,"4+mrts15","Skew-t, K=5 + MRTS(15)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,"mrts15",29
4,"4+mrts20","Skew-t, K=5 + MRTS(20)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,"mrts20",30
4,"4+mrts25","Skew-t, K=5 + MRTS(25)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"mrts25",31
4,"4+mrts12","Skew-t, K=5 + MRTS(12)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,"mrts12",32
5,"5+mrts8","Sym-t, K=5, T=q(0.80) + MRTS(8)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,"mrts8",33
5,"5+mrts15","Sym-t, K=5, T=q(0.80) + MRTS(15)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,"mrts15",34
5,"5+mrts3","Sym-t, K=5, T=q(0.80) + MRTS(3)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"mrts3",35
5,"5+mrts5","Sym-t, K=5, T=q(0.80) + MRTS(5)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"mrts5",36
5,"5+mrts10","Sym-t, K=5, T=q(0.80) + MRTS(10)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"mrts10",37
5,"5+mrts12","Sym-t, K=5, T=q(0.80) + MRTS(12)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,"mrts12",38
5,"5+mrts20","Sym-t, K=5, T=q(0.80) + MRTS(20)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,"mrts20",39
5,"5+mrts25","Sym-t, K=5, T=q(0.80) + MRTS(25)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"mrts25",40
