"method_id","method_key","label","runner","method","skew","thresh_all","thresh_quant","nknots","use_exponential_fallback","temporaltau","temporalz","temporalw","ar2_tau","ar2_z","ar2_w","mrts_k","output_tag","plan_id"
1,"1+mrts3","Gaussian + MRTS(3)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"mrts3",1
1,"1+mrts30","Gaussian + MRTS(30)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,"mrts30",2
1,"1+mrts10","Gaussian + MRTS(10)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"mrts10",3
1,"1+mrts12","Gaussian + MRTS(12)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,"mrts12",4
1,"1+mrts20","Gaussian + MRTS(20)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,"mrts20",5
1,"1+mrts5","Gaussian + MRTS(5)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"mrts5",6
1,"1+mrts40","Gaussian + MRTS(40)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,"mrts40",7
1,"1+mrts50","Gaussian + MRTS(50)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"mrts50",8
1,"1+mrts15","Gaussian + MRTS(15)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,"mrts15",9
1,"1+mrts25","Gaussian + MRTS(25)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"mrts25",10
1,"1+mrts8","Gaussian + MRTS(8)","mcmc","gaussian",FALSE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,"mrts8",11
2,"2+mrts10","Skew-t, K=1 + MRTS(10)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"mrts10",12
2,"2+mrts12","Skew-t, K=1 + MRTS(12)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,"mrts12",13
2,"2+mrts15","Skew-t, K=1 + MRTS(15)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,"mrts15",14
2,"2+mrts3","Skew-t, K=1 + MRTS(3)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"mrts3",15
2,"2+mrts30","Skew-t, K=1 + MRTS(30)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,"mrts30",16
2,"2+mrts40","Skew-t, K=1 + MRTS(40)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,"mrts40",17
2,"2+mrts50","Skew-t, K=1 + MRTS(50)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"mrts50",18
2,"2+mrts20","Skew-t, K=1 + MRTS(20)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,"mrts20",19
2,"2+mrts5","Skew-t, K=1 + MRTS(5)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"mrts5",20
2,"2+mrts8","Skew-t, K=1 + MRTS(8)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,"mrts8",21
2,"2+mrts25","Skew-t, K=1 + MRTS(25)","mcmc","t",TRUE,0,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"mrts25",22
3,"3+mrts10","Sym-t, K=1, T=q(0.80) + MRTS(10)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"mrts10",23
3,"3+mrts12","Sym-t, K=1, T=q(0.80) + MRTS(12)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,"mrts12",24
3,"3+mrts30","Sym-t, K=1, T=q(0.80) + MRTS(30)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,"mrts30",25
3,"3+mrts40","Sym-t, K=1, T=q(0.80) + MRTS(40)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,"mrts40",26
3,"3+mrts50","Sym-t, K=1, T=q(0.80) + MRTS(50)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"mrts50",27
3,"3+mrts15","Sym-t, K=1, T=q(0.80) + MRTS(15)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,"mrts15",28
3,"3+mrts3","Sym-t, K=1, T=q(0.80) + MRTS(3)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"mrts3",29
3,"3+mrts5","Sym-t, K=1, T=q(0.80) + MRTS(5)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"mrts5",30
3,"3+mrts8","Sym-t, K=1, T=q(0.80) + MRTS(8)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,"mrts8",31
3,"3+mrts20","Sym-t, K=1, T=q(0.80) + MRTS(20)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,"mrts20",32
3,"3+mrts25","Sym-t, K=1, T=q(0.80) + MRTS(25)","mcmc","t",FALSE,0.8,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"mrts25",33
4,"4+mrts10","Skew-t, K=5 + MRTS(10)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"mrts10",34
4,"4+mrts30","Skew-t, K=5 + MRTS(30)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,"mrts30",35
4,"4+mrts40","Skew-t, K=5 + MRTS(40)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,"mrts40",36
4,"4+mrts12","Skew-t, K=5 + MRTS(12)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,"mrts12",37
4,"4+mrts3","Skew-t, K=5 + MRTS(3)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"mrts3",38
4,"4+mrts5","Skew-t, K=5 + MRTS(5)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"mrts5",39
4,"4+mrts8","Skew-t, K=5 + MRTS(8)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,"mrts8",40
4,"4+mrts50","Skew-t, K=5 + MRTS(50)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"mrts50",41
4,"4+mrts15","Skew-t, K=5 + MRTS(15)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,"mrts15",42
4,"4+mrts20","Skew-t, K=5 + MRTS(20)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,"mrts20",43
4,"4+mrts25","Skew-t, K=5 + MRTS(25)","mcmc","t",TRUE,0,TRUE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"mrts25",44
5,"5+mrts30","Sym-t, K=5, T=q(0.80) + MRTS(30)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,"mrts30",45
5,"5+mrts10","Sym-t, K=5, T=q(0.80) + MRTS(10)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,"mrts10",46
5,"5+mrts15","Sym-t, K=5, T=q(0.80) + MRTS(15)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,"mrts15",47
5,"5+mrts3","Sym-t, K=5, T=q(0.80) + MRTS(3)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"mrts3",48
5,"5+mrts5","Sym-t, K=5, T=q(0.80) + MRTS(5)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"mrts5",49
5,"5+mrts40","Sym-t, K=5, T=q(0.80) + MRTS(40)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,"mrts40",50
5,"5+mrts12","Sym-t, K=5, T=q(0.80) + MRTS(12)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,"mrts12",51
5,"5+mrts20","Sym-t, K=5, T=q(0.80) + MRTS(20)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,"mrts20",52
5,"5+mrts25","Sym-t, K=5, T=q(0.80) + MRTS(25)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,"mrts25",53
5,"5+mrts8","Sym-t, K=5, T=q(0.80) + MRTS(8)","mcmc","t",FALSE,0.8,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,"mrts8",54
