"setting","metric","quantile","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
2,"quantile",0.97,2.12466044883205,0.00432270759660747,1.05990893291232,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.98,0.0147902457739024,0.00053843522765472,1.14545307748468,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.98,1.50965863480276,0.0115341805375592,1.04582562987673,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.99,0.00830351372232075,0.000562769737898723,1.14317871542446,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.99,0.838234287997099,0.0156376767680501,1.02206399928822,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.995,0.00456167816408734,3.22230952275312e-05,1.13187707144314,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.995,0.463562409085353,0.0131321015191574,0.988749003416136,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.9,0.0447061506777583,0.0013408806702564,0.992480145571999,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.9,5.03747399712526,0.0150096513086733,0.999239182589026,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.91,0.0414928840502668,0.00181111396107786,0.993559315421112,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.91,4.66949852438515,0.0155424957876642,0.999146425050705,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.92,0.0381018586884071,0.00201388016044176,0.994183712023275,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.92,4.28320915226343,0.0153639586299423,0.99912036846735,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.93,0.0343047810675542,0.00210239836521192,0.996193978377931,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.93,3.87625198112604,0.0157068160522895,0.998975776204913,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.94,0.0307926293302217,0.00245282281859379,0.997002189572354,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.94,3.44789738302399,0.0161572683148461,0.998665490593866,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.95,0.0269511911426042,0.00212480392913418,0.997079539770645,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.95,2.99607118318478,0.0174789797155734,0.998251154176372,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.96,0.0224099836853858,0.00113229933096387,0.998931147452692,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.96,2.51393270676343,0.0191131723193192,0.997268119462398,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.97,0.0181585952943679,0.00111347726819468,0.998534703514946,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.97,1.99773003895633,0.0236595305939108,0.996588379569576,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.98,0.012833006120031,0.000698438771527216,0.993871675851858,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.98,1.43669041021891,0.0288409941234219,0.99527642777425,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.99,0.00716202997168336,0.000581918980602258,0.986025976069817,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.99,0.812597903084562,0.0333542062321428,0.990805404327132,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.995,0.00399145806710186,4.93266042361443e-05,0.990389875232073,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.995,0.461609859924542,0.0323481316622115,0.984584340796743,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.9,0.04497923967697,0.0012467169029432,0.998542743348431,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.9,5.04757061270062,0.0242458213562657,1.00124195896071,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.91,0.0417162041035509,0.00172242929651582,0.998906779795772,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.91,4.67964017296596,0.023618660591556,1.00131646362567,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
