"replicate","phase","setting","method_id","variant","trim_constant","injection_a","beta0_true","beta0_mean","beta0_sd","beta0_bias","beta0_ess","sigma_xi_mean","rank_kept","kept_cols","wall_sec","seed","bias_flag","variance_flag","absorption_flag"
3,"A_gaussian",1,1,"B_keep",FALSE,2,12,12.0964619371034,0.114683938435736,0.0964619371033546,1738.70534364328,0.607833053509501,20,20,34.5599999999999,120123,"PASS",NA,NA
3,"A_gaussian",1,1,"B_keep",FALSE,5,15,15.0975036833699,0.114614467735827,0.0975036833699274,1756.03828124546,0.607710791128512,20,20,34.6900000000001,120153,"PASS",NA,NA
3,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,9.73646728063446,0.174761060778792,-0.263532719365545,137.860897023881,0.632201220156391,19,19,58.01,220403,"PASS",NA,NA
3,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,11.746874497895,0.177522186216117,-0.253125502105046,184.298397296294,0.631377204413457,19,19,58.02,220423,"PASS",NA,NA
3,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,14.7153764541463,0.185409418997798,-0.284623545853663,199.2861686133,0.631476234951483,19,19,57.74,220453,"PASS",NA,NA
3,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,12.0136771910236,1.73305102384936,2.01367719102363,65.1028415107975,0.175115641586251,20,20,58.3100000000002,220403,"WARN","WARN_variance",NA
3,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,13.8848170457766,1.66768402904905,1.88481704577664,66.5082228616311,0.177762604834438,20,20,58.28,220423,"WARN","WARN_variance",NA
3,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,17.0341543928935,1.65824428399775,2.03415439289354,85.4099290134925,0.166536796048184,20,20,58.5,220453,"WARN","WARN_variance",NA
4,"A_gaussian",1,1,"A_trim",TRUE,0,10,10.0672970989447,0.0996130722144095,0.0672970989447421,1441.64071033068,0.666961229284594,19,19,34.3399999999999,120104,"PASS",NA,NA
4,"A_gaussian",1,1,"A_trim",TRUE,2,12,12.0711782153443,0.0998170130886555,0.0711782153442684,1374.05786997577,0.666945435617056,19,19,34.3600000000001,120124,"PASS",NA,NA
4,"A_gaussian",1,1,"A_trim",TRUE,5,15,15.0721767335276,0.10005863772875,0.0721767335276304,1269.91748879196,0.66730080755246,19,19,34.27,120154,"PASS",NA,NA
4,"A_gaussian",1,1,"B_keep",FALSE,0,10,10.0251343700412,0.11267524651798,0.0251343700411937,1372.32265096214,0.607207581483136,20,20,34.6099999999999,120104,"PASS",NA,NA
4,"A_gaussian",1,1,"B_keep",FALSE,2,12,12.0298678015127,0.113142343466369,0.0298678015126743,1300.57319869471,0.607192867907611,20,20,34.49,120124,"PASS",NA,NA
4,"A_gaussian",1,1,"B_keep",FALSE,5,15,15.0314939574578,0.112933084826049,0.0314939574577924,1220.91084483134,0.607578619596764,20,20,35.6800000000001,120154,"PASS",NA,NA
4,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,9.88179336837219,0.147512119851424,-0.118206631627807,119.510828410469,0.625837269870272,19,19,58.22,220404,"PASS",NA,NA
4,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,11.8890462697726,0.153270291044569,-0.110953730227447,113.964693917935,0.625365596428326,19,19,57.9999999999998,220424,"PASS",NA,NA
4,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,14.9072079625178,0.139990864587833,-0.0927920374821678,155.219206052752,0.624939978890765,19,19,58.5500000000002,220454,"PASS",NA,NA
4,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,10.9188059781774,0.83167564632753,0.918805978177435,119.839927443964,0.25119169579382,20,20,58.1999999999998,220404,"PASS","WARN_variance",NA
4,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,12.8707381774286,0.776822800009774,0.870738177428564,158.946882662387,0.253310654996609,20,20,57.9400000000001,220424,"PASS","WARN_variance",NA
4,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,15.9131121232893,0.827324170660484,0.913112123289284,178.526367575221,0.248396147928189,20,20,57.8400000000001,220454,"PASS","WARN_variance",NA
5,"A_gaussian",1,1,"A_trim",TRUE,0,10,9.92069646040052,0.101403710543734,-0.0793035395994828,1899.41826972714,0.670661341636728,19,19,34.29,120105,"PASS",NA,NA
5,"A_gaussian",1,1,"A_trim",TRUE,2,12,11.9190721683943,0.102272504512912,-0.0809278316057291,1676.46392219875,0.670519556517673,19,19,34.3200000000002,120125,"PASS",NA,NA
5,"A_gaussian",1,1,"A_trim",TRUE,5,15,14.9206846391768,0.101499030217034,-0.0793153608231734,1962.31932356762,0.670021071593375,19,19,34.3899999999999,120155,"PASS",NA,NA
5,"A_gaussian",1,1,"B_keep",FALSE,0,10,9.94210568583796,0.103661686122508,-0.0578943141620432,1839.14259720247,0.624952078646772,20,20,34.5500000000002,120105,"PASS",NA,NA
5,"A_gaussian",1,1,"B_keep",FALSE,2,12,11.9402469170564,0.10459071731785,-0.0597530829435744,1621.40139772926,0.624849977064466,20,20,34.3999999999996,120125,"PASS",NA,NA
5,"A_gaussian",1,1,"B_keep",FALSE,5,15,14.9419591428568,0.103772034580336,-0.0580408571432471,1918.73429689335,0.624372477755777,20,20,34.3800000000001,120155,"PASS",NA,NA
5,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,10.2852085819089,0.153199266502784,0.285208581908908,140.91638567444,0.648032605834213,19,19,58.1199999999999,220405,"PASS",NA,NA
5,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,12.2948234677846,0.144325894147501,0.294823467784582,204.09130646743,0.647695289108311,19,19,57.9100000000003,220425,"PASS",NA,NA
5,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,15.3135112461159,0.148469613757211,0.31351124611588,196.351000693346,0.649491576755437,19,19,58.6999999999998,220455,"PASS",NA,NA
5,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,10.6566978793617,0.375663456387953,0.656697879361715,109.83412849836,0.481546302913101,20,20,58.3299999999999,220405,"PASS","WARN_variance",NA
5,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,12.6613477383611,0.37396362479944,0.661347738361128,128.416376461935,0.471022545198473,20,20,58.3000000000002,220425,"PASS","WARN_variance",NA
5,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,15.6659508389639,0.374340062720028,0.66595083896391,110.230641854975,0.493350004432112,20,20,59.2599999999998,220455,"PASS","WARN_variance",NA
6,"A_gaussian",1,1,"A_trim",TRUE,0,10,10.1489564354519,0.102878481684818,0.148956435451909,1876.935694505,0.672024135312232,19,19,35,120106,"PASS",NA,NA
6,"A_gaussian",1,1,"A_trim",TRUE,2,12,12.1485907974142,0.101414461450926,0.148590797414181,1754.6903810857,0.672063619835991,19,19,34.75,120126,"PASS",NA,NA
6,"A_gaussian",1,1,"A_trim",TRUE,5,15,15.1500647473015,0.0995584783508587,0.150064747301519,1446.29695996568,0.672180851384662,19,19,34.8300000000004,120156,"PASS",NA,NA
6,"A_gaussian",1,1,"B_keep",FALSE,0,10,10.2383792856919,0.121695431752708,0.238379285691932,1812.76131008096,0.61082773043426,20,20,35.1399999999999,120106,"PASS",NA,NA
6,"A_gaussian",1,1,"B_keep",FALSE,2,12,12.2381262782463,0.11985221509817,0.238126278246288,1701.70902145423,0.610850057474508,20,20,35.1999999999998,120126,"PASS",NA,NA
6,"A_gaussian",1,1,"B_keep",FALSE,5,15,15.2398832564903,0.117745119038587,0.239883256490273,1400.5425655558,0.610933961593556,20,20,34.9200000000001,120156,"PASS",NA,NA
6,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,27.8137917440958,0.371201393433937,17.8137917440958,114.756040876923,0.625691989446759,19,19,58.8499999999999,220406,"WARN",NA,NA
6,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,29.7720446698145,0.291577778233065,17.7720446698145,260.080515715152,0.624926750811837,19,19,58.5300000000002,220426,"WARN",NA,NA
6,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,32.8607033223779,0.375401253661413,17.8607033223779,159.48714233726,0.625390846293743,19,19,58.4699999999998,220456,"WARN",NA,NA
6,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,12.9030988832776,1.24532034913308,2.90309888327759,183.393445228965,0.1651753940129,20,20,67.0599999999999,220406,"WARN","WARN_variance",NA
6,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,15.0204178957628,1.20542787293155,3.02041789576284,210.413462673384,0.160186637550364,20,20,58.3899999999999,220426,"WARN","WARN_variance",NA
6,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,18.0380703870825,1.16234016871281,3.03807038708246,213.631478577165,0.1568825637017,20,20,58.8800000000001,220456,"WARN","WARN_variance",NA
7,"A_gaussian",1,1,"A_trim",TRUE,0,10,10.1555244911369,0.134684939894333,0.155524491136921,1451.30136430664,0.655597740054367,19,19,35.23,120107,"PASS",NA,NA
7,"A_gaussian",1,1,"A_trim",TRUE,2,12,12.1567523486864,0.134525393701222,0.156752348686373,1333.9213748719,0.655701543163148,19,19,34.8699999999999,120127,"PASS",NA,NA
7,"A_gaussian",1,1,"A_trim",TRUE,5,15,15.1528035943157,0.133355636341526,0.152803594315717,1395.67210175741,0.655500081811165,19,19,34.7400000000002,120157,"PASS",NA,NA
